表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
アキアカネ,アキアカネ|Autumn Darter,秋色の赤橙、翅の透明感と稲穂の金が重なる,#CF4117,腹部の赤橙,#9C7C28,胸部の黄茶,#F6F6F4,翅膜の白,#BE811F,稲穂の金,s|d|ltg,,ナチュラルハーモニー
ナツアカネ,ナツアカネ|Summer Darter,赤い胴と黄褐色の胸、夏草の緑にくっきり映る,#CC233E,腹部の赤,#A06C34,胸部の黄褐色,#F6F6F4,翅膜の白,#2E7742,夏草の緑,v|s|d,,対照色相配色
シオカラトンボ,シオカラトンボ|Common Skimmer,粉を吹いた青灰の胴、黒い尾先が水面を切る,#73A4C4,腹部の淡青,#111111,尾端の黒,#563A1E,胸部の褐色,#29489F,水面の青,s|d|ltg,,類似色相配色
オオシオカラトンボ,オオシオカラトンボ|Greater Blue Skimmer,濃い青の胴と黒い尾、翅基部の影が力強い,#225EA9,腹部の濃青,#111111,尾端の黒,#1F2D45,胸部の紺,#F6F6F4,翅膜の白,s|dp|dk,,セパレーション
コシアキトンボ,コシアキトンボ|Pied Skimmer,黒い体を白帯が断ち、透明な翅が池上を滑る,#111111,体の黒,#F6F6F4,腰帯の白,#744A3F,翅基部の焦茶,#2E8F2C,水草の緑,s|dp|dk,,セパレーション
ギンヤンマ,ギンヤンマ|Lesser Emperor,緑の胸と青い腹、黒い節が高速で水辺を巡る,#45A45F,胸部の緑,#3B69D4,腹部の青,#111111,腹節の黒,#F6F6F4,翅膜の白,v|s|dp,,対照色相配色
オニヤンマ,オニヤンマ|Golden-ringed Dragonfly,黒い体に黄帯、緑の複眼が渓流で鋭く光る,#111111,体の黒,#EFBD34,腹帯の黄,#36C466,複眼の緑,#62C6D5,渓流水の青,v|s|dp,,セパレーション
アオカナブン,アオカナブン|Green Flower Chafer,金緑の甲、黒い脚と木肌の茶が夏光を返す,#4BA185,上翅の金緑,#30A52B,胸部の緑,#111111,脚の黒,#6A5038,樹皮の茶,s|dp|d,ラメ,類似色相配色
オオキンカメムシ,オオキンカメムシ|Giant Jewel Bug,橙赤の背に黒紋、金緑の光沢が葉上で弾ける,#DE8359,背面の橙赤,#111111,斑紋の黒,#41C095,金属光の金緑,#257D31,葉の緑,v|s|dp,ラメ,コンプレックスハーモニー
ジンガサハムシ,ジンガサハムシ|Golden Tortoise Beetle,金色の甲が透け、中心の焦茶が小さく浮かぶ,#CC9B24,甲の金,#E1C96D,甲縁の淡黄,#532C1E,中央紋の焦茶,#3EAA48,葉の緑,b|s|d,ラメ,類似色相配色
クロウリハムシ,クロウリハムシ|Black-legged Cucurbit Beetle,橙黄の翅と黒い頭脚、瓜葉の緑が鮮やか,#ED914B,上翅の橙黄,#111111,頭部の黒,#289146,瓜葉の緑,#915836,腹面の焦茶,v|s|dp,,対照色相配色
イタドリハムシ,イタドリハムシ|Knotweed Leaf Beetle,黒い甲に橙の大斑、白い光点が葉上に跳ねる,#111111,上翅の黒,#BC6D29,斑紋の橙,#F6F6F4,反射光の白,#36B846,イタドリ葉の緑,v|s|dp,,セパレーション
ハンノキハムシ,ハンノキハムシ|Alder Leaf Beetle,濃紺から紫に光る甲、黒い脚が葉陰を走る,#304C6B,上翅の濃紺,#7E348A,金属光の紫,#111111,脚の黒,#3A8B53,ハンノキ葉の緑,s|dp|dk,ラメ,類似色相配色
カメノコテントウ,カメノコテントウ|Tortoise Ladybird,黒い甲に赤橙の大斑、白い光点が丸く浮く,#111111,上翅の黒,#E93414,大斑の赤橙,#F6F6F4,反射光の白,#35B15D,葉の緑,v|s|dp,,セパレーション
ニジュウヤホシテントウ,ニジュウヤホシテントウ|Twenty-eight-spotted Ladybird,黄橙の甲に黒点が並び、灰白の産毛がかすむ,#CC7016,上翅の黄橙,#111111,斑点の黒,#F6F6F4,産毛の白,#3B9C45,茄子葉の緑,v|s|lt,ツヤケシ,リピテーション配色
キイロテントウ,キイロテントウ|Yellow Ladybird,淡黄の小さな甲、黒い眼と葉の緑が愛らしい,#E5E491,上翅の淡黄,#111111,複眼の黒,#F6F6F4,胸背の白,#268041,葉の緑,b|lt|sf,,セパレーション
ハナビラクマノミ,ハナビラクマノミ|Pink Skunk Clownfish,淡桃の体を白線が走り、橙の鰭が珊瑚に浮く,#DA86A3,体表の淡桃,#F6F6F4,背線の白,#E9A258,鰭の橙,#437DC3,海水の青,b|lt|s,,セパレーション
セジロクマノミ,セジロクマノミ|Orange Skunk Clownfish,橙の体に白い背線、黒い眼がイソギンチャクに映える,#C55D27,体表の橙,#F6F6F4,背線の白,#111111,眼の黒,#78DCCB,海水の青,v|s|dp,,セパレーション
ハマクマノミ,ハマクマノミ|Tomato Clownfish,朱赤の体、白い頭帯と黒い鰭縁が鮮烈,#BA431E,体表の朱赤,#F6F6F4,頭帯の白,#111111,鰭縁の黒,#347CA6,海水の青,v|s|dp,,セパレーション
トウアカクマノミ,トウアカクマノミ|Saddleback Clownfish,橙赤の体、白い鞍模様と黒い腹が礁湖に映える,#D45615,体表の橙赤,#F6F6F4,鞍模様の白,#111111,腹部の黒,#3C8E3C,イソギンチャクの緑,v|s|dp,,セパレーション
クマノミ,クマノミ|Clark's Anemonefish,黒褐色の体を白帯が切り、黄いろい尾が揺れる,#6D4927,体表の焦茶,#F6F6F4,体帯の白,#D5C74B,尾鰭の黄,#1C4F9E,海水の青,s|d|ltg,,セパレーション
ルリヤッコ,ルリヤッコ|Coral Beauty Angelfish,濃青の体に橙の腹、青い縁が珊瑚間で光る,#1C3DA1,体表の濃青,#DF7A36,腹部の橙,#293561,鰭縁の瑠璃,#111111,眼の黒,v|s|dp,,補色配色
レモンピールエンゼルフィッシュ,レモンピールエンゼルフィッシュ|Lemonpeel Angelfish,鮮黄の体、青い眼縁と鰭縁がレモン色を締める,#E0E349,体表の鮮黄,#3153B6,眼縁の青,#2D297B,鰭縁の青,#111111,眼の黒,v|b|dp,,対照色相配色
チリメンヤッコ,チリメンヤッコ|Vermiculated Angelfish,白い体に黒い細線、黄いろい尾が織模様のよう,#F6F6F4,体表の白,#111111,細線の黒,#ECDB4D,尾鰭の黄,#699BD4,鰓蓋の淡青,s|dp|ltg,,リピテーション配色
ナメラヤッコ,ナメラヤッコ|Halfblack Angelfish,淡灰の前身と黒い後身、黄いろい鰭が小さく光る,#444444,前半身の灰,#111111,後半身の黒,#EDED6F,鰭の黄,#7FBBD1,口元の淡青,s|d|ltg,,セパレーション
シマヤッコ,シマヤッコ|Multibarred Angelfish,白地に黒帯が並び、黄いろい顔と青縁が響く,#F6F6F4,体地の白,#111111,横帯の黒,#F4D886,顔の黄,#2E6EAD,鰭縁の青,v|s|dp,,リピテーション配色
ヘラルドコガネヤッコ,ヘラルドコガネヤッコ|Herald's Angelfish,全身の黄、鰭縁の橙と青い海が輪郭をつくる,#E1D87A,体表の黄,#DC945D,鰭縁の橙,#111111,眼の黒,#3D66C2,海水の青,v|b|dp,,対照色相配色
キイロサンゴハゼ,キイロサンゴハゼ|Yellow Clown Goby,小さな鮮黄の体、黒い眼と青い海にぽつり浮く,#F2C94E,体表の鮮黄,#111111,眼の黒,#DA8E80,珊瑚の桃,#7ED0CE,海水の青,v|b|s,,対照色相配色
オトメハゼ,オトメハゼ|Orange-spotted Sleeper Goby,白い体に橙斑、淡青の頬線が砂地で涼しい,#F6F6F4,体表の白,#E87D1E,体側の橙斑,#A7CADB,頬線の淡青,#CAA37F,砂底の黄土,b|lt|sf,,ナチュラルハーモニー
ゴールデンライオンタマリン,ゴールデンライオンタマリン|Golden Lion Tamarin,金橙の長い毛、黒い眼と森の緑が強く映える,#C29D42,体毛の金橙,#DE9B38,顔毛の橙,#111111,眼の黒,#204424,森林の緑,s|d|dp,,ナチュラルハーモニー
アカウアカリ,アカウアカリ|Bald Uakari,鮮紅の顔、淡茶の毛と黒い眼が河畔林に立つ,#D93221,顔皮の鮮紅,#CAB680,体毛の淡茶,#111111,眼の黒,#2C742D,河畔林の緑,v|s|d,,対照色相配色
シロガオサキ,シロガオサキ|White-faced Saki,黒い体に白い顔、茶いろい枝が密林を縁取る,#111111,体毛の黒,#F6F6F4,顔毛の白,#87513D,枝の茶,#2B9C33,葉の緑,d|dk|ltg,ツヤケシ,セパレーション
ワオキツネザル,ワオキツネザル|Ring-tailed Lemur,白黒の尾輪、淡灰の体と琥珀眼が乾林に映える,#111111,尾輪の黒,#F6F6F4,尾輪の白,#444444,体毛の灰,#B17E34,眼の琥珀,d|dk|ltg,ツヤケシ,セパレーション
ズグロシロハラインコ,ズグロシロハラインコ|Black-headed Caique,黒い頭、白い腹と橙黄の脚が南米の森に弾む,#111111,頭羽の黒,#F6F6F4,腹羽の白,#CF7E2B,脚羽の橙黄,#3FBA59,翼羽の緑,v|s|dp,,セパレーション
シロハラインコ,シロハラインコ|White-bellied Caique,白い腹、橙の頭と緑の翼が果樹林で明るい,#F6F6F4,腹羽の白,#E7804D,頭羽の橙,#4EA748,翼羽の緑,#EBCE60,嘴の淡黄,v|b|s,,ナチュラルハーモニー
アカカザリフウチョウ,アカカザリフウチョウ|Raggiana Bird-of-Paradise,赤橙の飾り羽、黄いろい頭と黒い胸が踊る,#E25337,飾り羽の赤橙,#F3F587,頭羽の黄,#111111,胸羽の黒,#614539,翼羽の茶,v|s|dp,,対照色相配色
アオホソオオトカゲ,アオホソオオトカゲ|Blue Tree Monitor,鮮青の鱗に黒い網目、枝の茶と葉の緑が絡む,#2C5593,鱗の鮮青,#111111,網目の黒,#683C28,枝の茶,#2DA839,葉の緑,v|s|dp,,対照色相配色
ファイアサラマンダー,ファイアサラマンダー|Fire Salamander,漆黒の体に鮮黄の斑、湿った森で警告色が光る,#111111,体表の黒,#DFD462,斑紋の鮮黄,#1B531B,湿葉の緑,#7D5949,落葉の茶,v|s|dp,,セパレーション
弾き猿,弾き猿|Hikizaru Toy,赤い猿が竹竿を上下し、白木と黒目が素朴に動く,#B22D31,猿の赤,#C5BC96,竹竿の淡黄,#111111,目の黒,#77583A,台木の焦茶,s|d|ltg,ツヤケシ,セパレーション
暫狐,暫狐|Shibaraku Fox Toy,白い狐面に朱と黒、江戸芝居の化粧が小さく残る,#F6F6F4,狐面の白,#E75521,隈取の朱,#111111,目鼻の黒,#B49F2A,飾りの金,s|dp|ltg,ツヤケシ,セパレーション
千木筥,千木筥|Chigibako Box Toy,木地の淡茶、紅白の紐と藍紙が端正に重なる,#DACFA2,木地の淡茶,#932738,結び紐の紅,#F6F6F4,結び紐の白,#2B2A97,貼紙の藍,s|d|ltg,ツヤケシ,ナチュラルハーモニー
甲府親子だるま,甲府親子だるま|Kofu Oyako Daruma,朱い親子だるま、白い顔と黒い眉が並んで笑う,#E5663F,胴の朱,#F6F6F4,顔の白,#111111,眉目の黒,#CEB420,金文字の金,s|dp|ltg,ツヤケシ,セパレーション
伊勢弓獅子,伊勢弓獅子|Ise Yumi-jishi,朱い獅子と白木の弓、黒い毛房が旅土産を語る,#D1424B,獅子頭の朱,#D3B68D,弓木の淡黄,#111111,毛房の黒,#D9A85B,飾りの金,s|d|ltg,ツヤケシ,セパレーション
伊勢竹蛇,伊勢竹蛇|Ise Takehebi,竹肌の黄緑、朱い舌と黒い目が蛇の動きを写す,#889D4D,竹肌の黄緑,#9F3023,舌の朱,#111111,目の黒,#55402C,節の焦茶,s|d|dk,ツヤケシ,ナチュラルハーモニー
奈良張り子鹿,奈良張り子鹿|Nara Hariko Deer,鹿毛の茶、白い斑と朱い飾りが古都の森を映す,#855943,鹿毛の茶,#F6F6F4,斑点の白,#C3322C,飾り紐の朱,#35A457,若草の緑,s|d|ltg,ツヤケシ,ナチュラルハーモニー
倉吉張子,倉吉張子|Kurayoshi Hariko,胡粉の白に朱と群青、黒い筆線が紙肌に残る,#F6F6F4,胡粉の白,#CB4224,彩色の朱,#2B90DD,彩色の群青,#111111,輪郭の黒,v|s|dp,ツヤケシ,セパレーション
出雲張子,出雲張子|Izumo Hariko,白い紙肌、朱と緑の彩色に金の飾りが光る,#F6F6F4,紙肌の白,#A02415,彩色の朱,#36B432,彩色の緑,#E0AE53,飾りの金,v|s|lt,ツヤケシ,ナチュラルハーモニー
尾道田面船,尾道田面船|Onomichi Tanomo-bune,白木の小舟、朱い旗と藍の水面が港町を残す,#EBE7DE,船体の白木,#BF2843,旗の朱,#2A427A,海面の藍,#816046,船縁の焦茶,s|d|ltg,ツヤケシ,ナチュラルハーモニー
高松張子,高松張子|Takamatsu Hariko,白い張子に朱黄緑、黒い筆線が讃岐らしく弾む,#F6F6F4,胡粉の白,#DD3452,彩色の朱,#E8E737,彩色の黄,#2B7F26,彩色の緑,v|b|s,ツヤケシ,中差色相配色
土佐張子,土佐張子|Tosa Hariko,白地に朱と藍、黄いろい飾りが南国の光を受ける,#F6F6F4,胡粉の白,#E92A24,彩色の朱,#383A82,彩色の藍,#E7C839,飾りの黄,s|dp|ltg,ツヤケシ,対照色相配色
鳴門首人形,鳴門首人形|Naruto Kubi Ningyo,胡粉顔に朱い口、黒髪と藍衣が人形芝居を残す,#F6F6F4,顔の胡粉白,#B42113,口の朱,#111111,髪の黒,#252556,衣の藍,s|dp|ltg,ツヤケシ,セパレーション
土佐鯨船,土佐鯨船|Tosa Whale Boat Toy,白木の船、黒い鯨と朱い旗が太平洋を進む,#E1D8C1,船体の白木,#111111,鯨の黒,#CD2428,旗の朱,#234CCE,海の青,s|dp|ltg,ツヤケシ,対照色相配色
土佐鯨車,土佐鯨車|Tosa Whale Cart,黒い鯨、白い車輪と朱い紐が木の車で転がる,#111111,鯨の黒,#F6F6F4,車輪の白,#DF2940,結び紐の朱,#926436,木部の茶,s|dp|dk,ツヤケシ,セパレーション
古博多土人形,古博多土人形|Ko-Hakata Clay Doll,胡粉の肌、朱い衣と黒髪に金彩が静かに映える,#F6F6F4,顔の胡粉白,#EA423D,衣の朱,#111111,髪の黒,#CFAC60,衣装の金彩,s|dp|ltg,ツヤケシ,セパレーション
弓野土人形,弓野土人形|Yumino Clay Doll,白い土肌、朱藍黄の衣が九州の土に鮮やか,#F6F6F4,胡粉の白,#AC122B,衣の朱,#25336B,衣の藍,#F1F192,飾りの黄,v|s|dp,ツヤケシ,対照色相配色
雉車,雉車|Kiji-guruma Toy,白木の鳥車、赤黄緑の筆彩が素朴に走る,#D6CDC1,木地の生成り,#DA4131,彩色の赤,#D8B952,彩色の黄,#228A34,彩色の緑,v|s|lt,ツヤケシ,中差色相配色
鹿児島神宮ポンパチ,鹿児島神宮ポンパチ|Kagoshima Jingu Ponpachi,赤黄の紙鼓、白い面と竹の淡茶が軽快に鳴る,#D93B42,鼓面の赤,#EED95E,紙飾りの黄,#F6F6F4,鼓面の白,#C0AD90,柄竹の淡茶,v|b|lt,ツヤケシ,リピテーション配色
鹿児島神宮化粧箱,鹿児島神宮化粧箱|Kagoshima Jingu Kesho-bako,赤い箱面、金と白の装飾が南国の授与玩具に映える,#8E2621,箱面の赤,#C3B244,飾りの金,#F6F6F4,文様の白,#111111,縁取りの黒,s|dp|ltg,ツヤケシ,セパレーション
琉球張子,琉球張子|Ryukyu Hariko,白い紙肌に朱黄緑、南島らしい明るい彩色,#F6F6F4,紙肌の白,#DA6246,彩色の朱,#D7D852,彩色の黄,#358941,彩色の緑,v|b|s,ツヤケシ,中差色相配色
江戸こま,江戸こま|Edo Koma,朱藍黄の輪が回転し、黒い軸が色を引き締める,#B32D3A,輪彩の朱,#374E92,輪彩の藍,#F3DC76,輪彩の黄,#111111,軸の黒,v|s|dp,ツヤケシ,リピテーション配色
鳴りこま,鳴りこま|Nari-goma,木地の淡茶、朱と藍の輪が回るたび音を響かせる,#B99D86,木地の淡茶,#B8392B,輪彩の朱,#1D1D67,輪彩の藍,#F6F6F4,輪彩の白,s|d|ltg,ツヤケシ,リピテーション配色
けんかこま,けんかこま|Kenka-goma,黒い鉄輪、木地の茶と朱線が激しい衝突を支える,#111111,鉄輪の黒,#553627,木地の茶,#99282E,彩線の朱,#D8C29F,木口の淡黄,s|d|dk,ツヤケシ,セパレーション
ちょんがけこま,ちょんがけこま|Chongake-goma,白木の皿形、朱藍の輪と黒い軸が空中で回る,#DFDCCD,木地の白木,#89242B,輪彩の朱,#252582,輪彩の藍,#111111,軸の黒,s|dp|ltg,ツヤケシ,セパレーション
八戸えんぶり,八戸えんぶり|Hachinohe Enburi,黒い烏帽子、白装束と朱い飾りが雪町を舞う,#111111,烏帽子の黒,#F6F6F4,装束の白,#B22227,飾りの朱,#CE9545,扇の金,s|dp|ltg,,セパレーション
弘前ねぷた,弘前ねぷた|Hirosaki Neputa Festival,赤橙の灯、墨線と白い紙が城下の夜に浮かぶ,#CC2232,灯絵の赤,#E76717,灯火の橙,#F6F6F4,和紙の白,#111111,輪郭の黒,v|s|dp,ラメ,セパレーション
岩木山お山参詣,岩木山お山参詣|Iwakiyama Oyama Sankei,白装束と藍の手拭、朝日の金が岩木山へ続く,#F6F6F4,参詣装束の白,#3C3A8E,手拭の藍,#D0B13A,朝日の金,#296437,山肌の緑,s|d|ltg,,ナチュラルハーモニー
早池峰神楽,早池峰神楽|Hayachine Kagura,白い神楽面、朱と金の衣が山里の舞台で揺れる,#F6F6F4,神楽面の白,#99152D,衣装の朱,#AA9833,装束の金,#111111,幕の黒,s|dp|ltg,,セパレーション
鬼剣舞,鬼剣舞|Onikenbai,黒い面と白装束、赤青の房が剣舞の輪を走る,#111111,鬼面の黒,#F6F6F4,装束の白,#C12C37,房の赤,#3584D8,房の青,v|s|dp,,対照色相配色
毛越寺延年,毛越寺延年|Motsuji Ennen,朱い装束と白面、金の冠が古寺の舞を照らす,#E34626,装束の朱,#F6F6F4,面の白,#B79423,冠の金,#33C559,庭の緑,s|dp|ltg,,ナチュラルハーモニー
チャグチャグ馬コ,チャグチャグ馬コ|Chagu Chagu Umakko,赤青金の馬装、白い花飾りが初夏の道を進む,#E61F2C,馬装の赤,#2677AD,馬装の青,#C0A024,金具の金,#F6F6F4,花飾りの白,v|s|dp,ラメ,リピテーション配色
黒石よされ,黒石よされ|Kuroishi Yosare,藍浴衣と白い編笠、赤い帯が夜の輪に揺れる,#314592,浴衣の藍,#F6F6F4,編笠の白,#C42116,帯の赤,#CF601B,提灯の橙,s|d|ltg,,リピテーション配色
豊橋鬼祭,豊橋鬼祭|Toyohashi Oni Festival,赤鬼と白粉、黒い装束に飴の白が舞い散る,#CE3F58,赤鬼の赤,#F6F6F4,白粉の白,#111111,装束の黒,#D7AB22,飾りの金,v|s|dp,,セパレーション
国府宮はだか祭,国府宮はだか祭|Konomiya Hadaka Matsuri,白い晒し、神男の肌と朱い社が冬空に集う,#F6F6F4,晒しの白,#CB4E22,社殿の朱,#897037,注連縄の黄土,#80ADDB,夜明けの青,s|d|ltg,,ナチュラルハーモニー
西大寺会陽,西大寺会陽|Saidaiji Eyo,白い晒しの群れ、黒い夜と宝木の木茶が迫る,#F6F6F4,晒しの白,#111111,夜の黒,#82552E,宝木の木茶,#ECAC51,寺灯りの橙,s|dp|dk,,セパレーション
御燈祭,御燈祭|Oto Matsuri,白装束の列、松明の橙赤が山の闇を一気に下る,#F6F6F4,装束の白,#D78A28,松明の橙,#D62123,炎芯の赤,#111111,山夜の黒,v|s|dp,,セパレーション
熊野速玉大社御船祭,熊野速玉大社御船祭|Kumano Hayatama Taisha Mifune Matsuri,朱い社舟、白装束と川の青が熊野を渡る,#EC3E32,社舟の朱,#F6F6F4,装束の白,#4795CB,熊野川の青,#D3AF56,飾りの金,s|dp|ltg,,対照色相配色
那覇大綱挽,那覇大綱挽|Naha Great Tug-of-War,藁の黄土、赤白の旗と群衆の藍が大通りを埋める,#B78952,大綱の黄土,#A52624,旗の赤,#F6F6F4,旗の白,#324185,法被の藍,s|d|ltg,,ナチュラルハーモニー
宮古島パーントゥ,宮古島パーントゥ|Miyakojima Paantu,泥の焦茶、蔓葉の緑と祭具の赤が島路を巡る,#904E39,泥の焦茶,#225125,蔓葉の緑,#E81B1A,祭具の赤,#7097C2,海空の青,d|dk|s,ツヤケシ,ナチュラルハーモニー
石垣島豊年祭,石垣島豊年祭|Ishigaki Hounensai,赤黄の旗、白装束と島緑が豊作の庭を彩る,#D2364A,旗の赤,#F1CD6D,旗の黄,#F6F6F4,装束の白,#337132,島葉の緑,v|b|s,,リピテーション配色
阿寒湖まりも祭り,阿寒湖まりも祭り|Lake Akan Marimo Festival,毬藻の深緑、アイヌ衣装の藍と赤が湖畔に並ぶ,#275231,毬藻の深緑,#223281,衣装の藍,#B03C2D,刺繍の赤,#225DCE,湖面の青,s|d|dp,,ナチュラルハーモニー
姥神大神宮渡御祭,姥神大神宮渡御祭|Ubagami Daijingu Togyo Festival,朱い山車飾り、金具と白装束が港町を巡る,#B9142B,山車飾りの朱,#CDB75F,飾金具の金,#F6F6F4,装束の白,#3A69BA,港の青,s|dp|ltg,ラメ,対照色相配色
浜松まつり,浜松まつり|Hamamatsu Festival,大凧の白赤、夜の御殿屋台に金灯りが続く,#F6F6F4,大凧の白,#D9413A,大凧の赤,#BA882A,屋台の金,#1A274A,夜空の紺,s|dp|ltg,ラメ,対照トーン配色
遠州大念仏,遠州大念仏|Enshu Dainenbutsu,白い装束、黒い太鼓と朱い房が盆夜を巡る,#F6F6F4,装束の白,#111111,太鼓の黒,#CF4642,房の朱,#D28647,提灯の橙,s|dp|dk,,セパレーション
富士吉田流鏑馬祭り,富士吉田流鏑馬祭り|Fujiyoshida Yabusame Festival,白装束と朱い馬具、森の緑が疾走を包む,#F6F6F4,装束の白,#DF2817,馬具の朱,#754B38,馬毛の茶,#25612A,森の緑,s|d|ltg,,ナチュラルハーモニー
鶴崎踊,鶴崎踊|Tsurusaki Odori,藍の浴衣、白い笠と赤い帯が夏夜に輪を描く,#272F77,浴衣の藍,#F6F6F4,編笠の白,#C12624,帯の赤,#D17246,提灯の橙,s|d|ltg,,リピテーション配色
壬生の花田植,壬生の花田植|Mibu no Hana Taue,早苗の緑、赤い飾牛と白装束が田面に映る,#2D9D3E,早苗の緑,#A21711,飾牛の赤,#F6F6F4,装束の白,#61A6D3,水田の青,b|s|lt,,ナチュラルハーモニー
長崎ペーロン,長崎ペーロン|Nagasaki Peron,赤青の舟、白い櫂しぶきが港の夏を競い合う,#A6202C,競漕舟の赤,#1E5BBC,競漕舟の青,#F6F6F4,水しぶきの白,#2D6B6E,海面の青緑,v|s|lt,,対照色相配色
吉田龍勢,吉田龍勢|Yoshida Ryusei Rocket Festival,竹筒の黄土、赤白の旗と煙が秋空へ伸びる,#A38D44,竹筒の黄土,#9E1817,旗の赤,#F6F6F4,旗の白,#97B9D1,秋空の青,s|d|ltg,,ナチュラルハーモニー
チュベローズ,チュベローズ|Tuberose,乳白の花弁、淡緑の蕾に濃厚な甘い香りが満ちる,#DCCCB9,花弁の乳白,#A0CD90,蕾の淡緑,#E1B73D,花芯の淡黄,#3F9451,葉の緑,p|lt|sf,,ナチュラルハーモニー
フリージア,フリージア|Freesia,黄白の花、若葉の緑に軽い果実香が立ち上がる,#F0E85E,花弁の黄,#F6F6F4,花弁の白,#32C345,若葉の緑,#CDA163,蕾の淡黄,b|lt|sf,,類似色相配色
ヒヤシンス,ヒヤシンス|Hyacinth,青紫の花房、白い花粉と緑葉に湿った甘香,#6F2BA8,花弁の青紫,#F6F6F4,花芯の白,#49AD5D,葉の緑,#7FB7D7,蕾の淡青,s|lt|sf,,類似色相配色
ライラック,ライラック|Lilac Blossom,淡紫の花房、白花と若葉の緑が春風に香る,#B589D3,花弁の淡紫,#F6F6F4,花弁の白,#37B349,若葉の緑,#BDAE82,枝の淡茶,p|lt|sf,,ナチュラルハーモニー
リンデンブロッサム,リンデンブロッサム|Linden Blossom,淡黄の小花、黄緑の苞と葉が蜂蜜のように香る,#F4E66E,花の淡黄,#636E41,苞の黄緑,#2BA54D,葉の緑,#D8B89D,枝の薄茶,b|sf|lt,,ナチュラルハーモニー
ミュゲ,ミュゲ|Muguet Flower,鈴形の白花、深緑の葉に冷たい甘さが漂う,#F6F6F4,花の白,#2B5D37,葉の深緑,#86A97E,花茎の淡緑,#91C5D3,木陰の青,p|sf|d,,ナチュラルハーモニー
ハニーサックル,ハニーサックル|Honeysuckle Blossom,白黄の花筒、赤い蕾と緑葉に蜜香が満ちる,#F6F6F4,花弁の白,#E0DC73,花筒の黄,#C3527F,蕾の赤,#42B468,葉の緑,b|lt|sf,,ナチュラルハーモニー
