表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
大内人形,大内人形|Ouchi doll|Ouchi ningyo,黒金の衣に朱、丸い姿へ雅な静けさ,#223542,衣の漆黒,#DACC7E,蒔絵の金,#C0392E,衣の朱,#D8D79F,顔の胡粉白,s|dp|dk,,セパレーション
神戸人形,神戸人形|Kobe doll|Kobe ningyo,黒い木肌に白い目、赤い舌がからくりで動く,#2A2724,木肌の黒,#D6CCAD,目の白,#B7202D,舌の赤,#825652,木部の焦茶,s|dp|dk,ツヤケシ,セパレーション
高山祭,高山祭|Takayama Festival|Takayama Matsuri,漆黒の屋台に金具、提灯の灯が町を流れる,#1B1F26,屋台の漆黒,#E3BA45,飾金具の金,#F8F5E7,提灯の生成り,#C3372A,幕の朱,s|dp|dk,ラメ,対照トーン配色
葵祭,葵祭|Aoi Matsuri|Hollyhock Festival,葵の緑、平安装束の朱と紫が御所を進む,#216128,葵葉の緑,#993949,装束の朱,#3A1D6F,装束の紫,#DEDC97,御簾の生成り,s|d|lt,,ナチュラルハーモニー
時代祭,時代祭|Jidai Matsuri|Festival of Ages,歴代装束の朱紫金、秋の都を長く連なる,#D81A22,装束の朱,#9155B1,装束の紫,#E0C657,甲冑の金,#4A3925,馬具の焦茶,s|dp|d,,リピテーション配色
岸和田だんじり祭,岸和田だんじり祭|Kishiwada Danjiri Festival|Kishiwada Danjiri Matsuri,木彫の山車、白法被と赤提灯が疾走する,#644E27,だんじりの欅茶,#E1D3C8,法被の白,#E76540,提灯の赤,#C38D27,金具の金,s|dp|ltg,,セパレーション
御柱祭,御柱祭|Onbashira Festival|Onbashira Matsuri,巨木の樹皮、白装束と森の緑が山を下る,#974337,御柱の樹皮茶,#C7C3B9,装束の白,#213865,法被の藍,#1D2F21,山林の緑,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
三社祭,三社祭|Sanja Matsuri,浅草の朱、神輿の金、白装束が街を満たす,#E1232F,浅草寺の朱,#EEBB7F,神輿の金,#E9D9D2,祭装束の白,#14203C,半纏の紺,v|s|dp,,対照色相配色
神田祭,神田祭|Kanda Matsuri,神輿の金と朱、紺の半纏が江戸の道を進む,#D6C231,神輿飾りの金,#E34E50,社殿の朱,#111433,半纏の紺,#D6C6C3,紙垂の白,s|dp|ltg,,セパレーション
天神祭,天神祭|Tenjin Matsuri,船渡御の灯、金の神輿と水面の藍が揺れる,#EFC44A,篝火の橙,#C3B362,神輿の金,#46467D,大川の藍,#CBBB9C,提灯の白,s|dp|dk,ラメ,対照トーン配色
おわら風の盆,おわら風の盆|Owara Kaze no Bon|Owara Festival,編笠の麦色、藍の浴衣と夜灯りが静かに流れる,#E4CCC0,編笠の麦色,#302869,浴衣の藍,#E5721D,町家の灯橙,#35363E,夜道の墨黒,d|dk|ltg,,トーナル配色
郡上おどり,郡上おどり|Gujo Odori|Gujo Dance Festival,藍浴衣と白手拭、提灯の赤が夜通し巡る,#292B7C,浴衣の藍,#DBC3AF,手拭の白,#C72C31,提灯の赤,#7F6240,下駄の木茶,s|d|dk,,リピテーション配色
西馬音内盆踊り,西馬音内盆踊り|Nishimonai Bon Odori,藍端縫い、彦三頭巾の黒、提灯灯が揺れる,#213585,端縫い衣装の藍,#16181C,彦三頭巾の黒,#C8B57D,編笠の麦色,#F4BD5D,提灯の橙,d|dk|ltg,,トーナル配色
よさこい祭り,よさこい祭り|Yosakoi Festival|Yosakoi Matsuri,鳴子の朱黄、色鮮やかな衣装が街を跳ねる,#DF3A4E,鳴子の朱,#E7F482,鳴子の黄,#3C4CAF,衣装の群青,#EEEBDC,帯の白,v|b|s,,リピテーション配色
クロモジ,クロモジ|kuromoji|Lindera umbellata,若枝の青さと木肌、淡い精油が森をほどく,#268A38,若葉の緑,#8A6928,枝皮の灰茶,#F2EF67,精油の淡黄,#865D26,茶湯の琥珀,sf|d|ltg,ツヤケシ,ナチュラルハーモニー
伽羅,伽羅|kyara|kyara agarwood,黒褐色の香木、樹脂と灰に幽玄な金が差す,#3B2A1E,香木の黒褐,#7A4A21,樹脂の飴色,#D9D3C6,香灰の白,#B08A3C,香炉の真鍮金,d|dk|dkg,,トーン・オン・トーン配色
丁子,丁子|clove|clove spice,乾いた蕾の焦茶、粉末の黄土に赤みが潜む,#9F8759,乾燥蕾の焦茶,#6A5037,蕾軸の赤茶,#BFA353,粉末の黄土,#EDEED2,花托の生成り,d|dk|ltg,ツヤケシ,トーナル配色
八角,八角|star anise|star anise spice,星形の赤茶、種の黒と粉末の黄土が香る,#C6582A,果皮の赤茶,#202532,種子の黒,#D29F54,粉末の黄土,#9D5835,乾燥果の茶,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
カルダモン,カルダモン|cardamom|cardamom spice,緑の莢を割ると黒い種、淡い香りが立つ,#707329,莢の緑,#2C2B26,種子の黒,#CECA9E,内皮の生成り,#7E8F68,粉末の淡緑,sf|d|dk,ツヤケシ,ナチュラルハーモニー
クミン,クミン|cumin|cumin spice,細い種の黄褐色、煎るほど深い茶へ沈む,#A17A38,種子の黄褐色,#9F5C4E,煎り種の焦茶,#CAB058,粉末の砂色,#E7CA36,油の琥珀,d|dk|ltg,ツヤケシ,トーナル配色
ナツメグ,ナツメグ|nutmeg|nutmeg spice,種皮の焦茶、割れ目の赤褐色に甘い影,#514532,種子の焦茶,#BE865B,仮種皮の赤褐色,#C27449,粉末の黄土,#C59E94,断面の生成り,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
コリアンダー,コリアンダー|coriander seed|coriander spice,丸い種の淡茶、若葉の緑と柑橘の明るさ,#BDA05A,種子の淡茶,#1B7D33,若葉の緑,#84693B,粉末の黄土,#DCCCB1,花の白,sf|ltg|d,ツヤケシ,ナチュラルハーモニー
フェンネル,フェンネル|fennel|fennel seed,淡緑の種と茎、黄いろい花が甘く軽い,#A2B891,種子の淡緑,#498F42,茎の青緑,#E7E87B,花の黄,#5B4F38,乾燥種の茶,sf|lt|d,ツヤケシ,類似色相配色
ローズマリー,ローズマリー|rosemary|rosemary herb,銀緑の葉、木質の茎と淡紫の花が冴える,#81A379,葉の銀緑,#AFB6AE,葉裏の灰白,#5D312B,茎の木茶,#958DBE,花の淡紫,sf|ltg|d,ツヤケシ,ナチュラルハーモニー
タイム,タイム|thyme|thyme herb,小さな深緑葉、木の茎と薄紫の花が乾く,#6E842E,葉の深緑,#916333,茎の木茶,#6761C4,花の薄紫,#A4C482,乾燥葉の灰緑,d|sf|ltg,ツヤケシ,類似色相配色
バジル,バジル|basil|sweet basil,つやのある緑葉、白花と茎の紫が爽快,#47C481,葉の鮮緑,#D1D0C3,花の白,#9C4CB0,茎の紫,#2D2C34,種子の黒,b|s|ltg,,対照色相配色
紫蘇,紫蘇|shiso|perilla,青紫蘇の緑と赤紫蘇の紫、葉脈が香る,#4AC550,青紫蘇の緑,#765A9F,赤紫蘇の紫,#C37273,穂の淡桃,#69572D,種の茶,s|d|lt,ツヤケシ,中差色相配色
生姜,生姜|ginger|ginger root,淡黄の根茎、薄茶の皮に若芽の緑が走る,#F3E9B8,根茎の淡黄,#E7DAB3,皮の薄茶,#68AF7D,芽の若緑,#ECD9C3,切口の生成り,lt|sf|ltg,ツヤケシ,ナチュラルハーモニー
茗荷,茗荷|myoga|Japanese ginger,紅桃の蕾、白い芯と緑の葉が涼しく香る,#C08583,蕾の紅桃,#E4D9C9,芯の白,#3A723A,葉の緑,#EDD8B5,茎元の淡黄,b|lt|sf,,対照色相配色
わさび,わさび|wasabi|Japanese horseradish,すりたての若緑、根茎の淡色に清涼感,#378050,すり身の若緑,#87C070,根茎の淡緑,#D6D983,切口の生成り,#43A331,葉の濃緑,b|sf|d,ツヤケシ,同一色相配色
胡麻,胡麻|sesame|sesame seed,黒胡麻と金胡麻、白胡麻が香ばしく散る,#201F26,黒胡麻の黒,#C79A3E,金胡麻の金茶,#C8B4A5,白胡麻の生成り,#803E2A,煎り胡麻の茶,s|d|dk,ツヤケシ,セパレーション
ほうじ茶,ほうじ茶|hojicha|roasted green tea,焙煎葉の焦茶、茶湯の赤琥珀が温かい,#A05853,焙煎葉の焦茶,#B5A53B,茶湯の赤琥珀,#BD9E49,茎茶の黄茶,#CFC29A,泡の生成り,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
玄米茶,玄米茶|genmaicha|brown rice tea,茶葉の緑、炒り米の金茶と淡い茶湯,#8D9C45,茶葉の緑,#E6A33F,炒り米の金茶,#CCDD38,茶湯の淡黄,#DDB98B,玄米の生成り,sf|d|lt,ツヤケシ,ナチュラルハーモニー
黒糖,黒糖|kokuto|Japanese brown sugar,蜜色から焦茶へ、塊の結晶が深く甘い,#794D24,黒糖の焦茶,#AF4514,蜜の琥珀,#89852C,結晶の黄土,#6C2D26,割口の赤茶,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
黒蜜,黒蜜|kuromitsu|brown sugar syrup,黒褐色の蜜、照りの琥珀と器の白が映える,#6D531F,蜜の黒褐色,#E1CC2E,照りの琥珀,#633F33,糖蜜の赤茶,#D9D4C1,白玉の白,d|dk|ltg,,対照トーン配色
鰹節,鰹節|katsuobushi|bonito flakes,削り節の淡桃、燻した表面に木の茶が残る,#D64766,削り節の淡桃,#6B3D21,表面の燻茶,#D88C4E,血合いの赤茶,#D4AB8C,断面の生成り,sf|d|ltg,ツヤケシ,トーナル配色
昆布だし,昆布だし|kombu dashi|kelp broth,昆布の深緑、澄んだ琥珀のだしに海が残る,#193618,昆布の深緑,#E79352,だしの淡琥珀,#ACB39E,昆布表面の灰緑,#E2E0D8,器の白,sf|d|ltg,,ナチュラルハーモニー
赤味噌,赤味噌|aka miso|red miso,熟成した赤褐色、麹の生成りと艶が深い,#87592A,味噌の赤褐色,#B7513F,熟成味噌の焦茶,#EDE8C3,麹の生成り,#904D15,照りの琥珀,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
