表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
ヒレナガハギ,ヒレナガハギ|Sailfin Tang|Zebrasoma veliferum,黄白の縞、濃茶の体と青い線が帆のように広がる,#DECE5F,体側の黄,#F6F6F4,縞の白,#805F4B,体表の濃茶,#2465B6,細線の青,s|d|ltg,,リピテーション配色
ニセフウライチョウチョウウオ,ニセフウライチョウチョウウオ|Vagabond Butterflyfish|Chaetodon vagabundus,白い体に黒線、黄いろい尾が礁原を横切る,#F6F6F4,体側の白,#111111,斜線の黒,#E9CF76,尾鰭の黄,#65B2CD,背の青灰,s|dp|ltg,,セパレーション
ヤリカタギ,ヤリカタギ|Chevron Butterflyfish|Chaetodon trifascialis,淡黄の体、青灰の細線と黒い尾が珊瑚を縫う,#E8E148,体側の淡黄,#92B8CC,斜線の青灰,#111111,尾鰭の黒,#F6F6F4,口先の白,b|s|dp,,リピテーション配色
ミゾレチョウチョウウオ,ミゾレチョウチョウウオ|Milletseed Butterflyfish|Chaetodon miliaris,鮮黄の体、黒い点と白い腹が海中に弾ける,#E7E694,体側の鮮黄,#111111,斑点の黒,#F6F6F4,腹部の白,#CC541A,尾柄の橙,v|b|dp,,セパレーション
アケボノチョウチョウウオ,アケボノチョウチョウウオ,白黄の体、黒帯と青灰の線が朝光に澄む,#F6F6F4,体側の白,#EEC955,後半身の黄,#111111,眼帯の黒,#70C2CE,細線の青灰,b|s|dp,,セパレーション
ミスジチョウチョウウオ,ミスジチョウチョウウオ|Threeband Butterflyfish|Chaetodon lunulatus,淡黄の体、三本の黒帯と白い顔が規則正しく並ぶ,#EDDE62,体側の淡黄,#111111,三本帯の黒,#F6F6F4,顔の白,#EB7C40,鰭縁の橙,b|s|dp,,リピテーション配色
トノサマダイ,トノサマダイ|Oval Butterflyfish|Chaetodon lunulatus complex,黄いろい体、紫青の線と黒目が華やかに交わる,#ECD98A,体側の黄,#222558,体線の紫青,#111111,眼の黒,#EA9348,鰭縁の橙,v|s|dp,,中差色相配色
ツノハタタテダイ,ツノハタタテダイ|Pennant Coralfish|Heniochus varius,白黒の縞、黄いろい尾と角状の突起が揺れる,#F6F6F4,体側の白,#111111,横帯の黒,#DFD579,尾鰭の黄,#904E39,口元の褐色,s|dp|ltg,,セパレーション
イッテンチョウチョウウオ,イッテンチョウチョウウオ|Teardrop Butterflyfish|Chaetodon unimaculatus,淡黄の体、黒い一斑と白い腹が礁に浮かぶ,#EECA67,体側の淡黄,#111111,側面の黒斑,#F6F6F4,腹部の白,#769EC3,背の青灰,b|s|dp,,セパレーション
スダレチョウチョウウオ,スダレチョウチョウウオ|Latticed Butterflyfish|Chaetodon rafflesii,黄いろい体、青灰の格子と黒い眼帯が細かく走る,#DDDE72,体側の黄,#76B0D5,格子線の青灰,#111111,眼帯の黒,#EAA53E,尾縁の橙,v|s|dp,,リピテーション配色
シテンヤッコ,シテンヤッコ|Spotbreast Angelfish|Genicanthus melanospilos,白い体、黒い斑と黄いろい尾が水中で軽やか,#F6F6F4,体側の白,#111111,斑紋の黒,#D6D44E,尾鰭の黄,#689CD0,背の淡青,b|s|dp,,セパレーション
ワヌケヤッコ,ワヌケヤッコ|Blue-ring Angelfish|Pomacanthus annularis,青い体、黄いろい輪紋と橙の顔が鮮やかに重なる,#2557C6,体表の青,#EFF05E,輪紋の黄,#C77223,顔部の橙,#293E54,鰭縁の濃藍,v|s|dp,,対照色相配色
サザナミヤッコ,サザナミヤッコ|Blueface Angelfish|Pomacanthus xanthometopon,青い顔、黄いろい体と濃紺の網目が海で光る,#217CB4,顔部の青,#EFEF7D,体側の黄,#2C3C6F,網目の濃紺,#F6F6F4,鰭縁の白,v|s|dp,,コンプレックスハーモニー
ロクセンヤッコ,ロクセンヤッコ|Sixbar Angelfish|Pomacanthus sexstriatus,淡黄の体に六本の濃帯、青い斑が静かに走る,#DAC04E,体側の淡黄,#202E54,六本帯の濃藍,#244FA6,顔斑の青,#F6F6F4,鰭縁の白,s|dp|ltg,,リピテーション配色
アデヤッコ,アデヤッコ|Emperor Angelfish|Pomacanthus imperator,濃青と黄の曲線、白い縁が皇帝の衣のように巡る,#4B79C0,体線の濃青,#F2DC77,体線の黄,#F6F6F4,鰭縁の白,#111111,眼帯の黒,v|s|dp,,リピテーション配色
フリソデエビ,フリソデエビ|Harlequin Shrimp|Hymenocera picta,白い体に紫青の斑、橙の縁が小さく華やぐ,#F6F6F4,体表の白,#9635A8,斑紋の紫,#2C79D9,斑紋の青,#D88E66,脚縁の橙,b|s|lt,,コンプレックスハーモニー
イソギンチャクモエビ,イソギンチャクモエビ|Sexy Shrimp|Thor amboinensis,橙褐色の体、白い斑点と青紫の影が触手に揺れる,#E7A754,体表の橙褐色,#F6F6F4,斑点の白,#59268C,関節の青紫,#D9C94B,触角の黄,s|d|lt,,コンプレックスハーモニー
ミドリシジミ,ミドリシジミ|Green Hairstreak|Neozephyrus japonicus,金緑の翅表、褐色の裏翅が林縁で瞬く,#47B294,翅表の金緑,#6C4B29,裏翅の褐色,#111111,翅縁の黒,#F6F6F4,斑線の白,s|dp|d,ラメ,セパレーション
アカシジミ,アカシジミ|Orange Hairstreak|Japonica lutea,橙赤の翅、黒い細線と白縁が夕方の森に映える,#D88D50,翅表の橙赤,#111111,翅線の黒,#F6F6F4,縁毛の白,#A38B49,翅裏の黄土,v|s|d,,セパレーション
ウラナミアカシジミ,ウラナミアカシジミ|Japonica saepestriata,橙の翅、黒い波線と白縁が葉影に細かく揺れる,#D77041,翅表の橙,#111111,波線の黒,#F6F6F4,縁毛の白,#AD902E,翅裏の黄茶,v|s|d,,リピテーション配色
アオタテハモドキ,アオタテハモドキ|Blue Pansy|Junonia orithya,青い後翅、黒い前翅と橙の眼状紋が開く,#2C99D7,後翅の青,#111111,前翅の黒,#E2571B,眼状紋の橙,#F6F6F4,斑点の白,v|s|dp,,対照色相配色
オオミズアオ,オオミズアオ|Actias aliena|Japanese Moon Moth,月白の翅、淡い青緑と紅い脚が夜に浮かぶ,#8DD3C7,翅の淡青緑,#F6F6F4,翅脈の白,#C06B8B,脚の紅,#E0C67C,眼状紋の黄,p|lt|sf,,ナチュラルハーモニー
ニポポ,ニポポ|Nipopo|Abashiri Nipopo,白木の肌に黒い目、赤い口が北国の木に宿る,#E1DDC6,白木の生成り,#111111,目の黒,#BA1518,口の赤,#4D3E2E,木目の茶,d|ltg|dk,ツヤケシ,ナチュラルハーモニー
木ノ下駒,木ノ下駒|Kinoshita-goma|Kinoshita Horse,黒駒と白駒、朱い鞍と金の飾りが東北に残る,#111111,馬体の黒,#F6F6F4,馬体の白,#B74825,鞍の朱,#C99E2C,飾りの金,s|dp|ltg,ツヤケシ,セパレーション
金魚ねぶた,金魚ねぶた|Kingyo Nebuta|Goldfish Nebuta,赤い金魚、白い胴と黒い目が灯りに浮かぶ,#E41A29,胴の赤,#F6F6F4,腹の白,#111111,目の黒,#B86F2D,灯火の橙,v|s|dp,,セパレーション
鹿踊り人形,鹿踊り人形|Shishi-odori Doll|Deer Dance Doll,鹿毛の茶、白い角と赤い布が踊り姿を伝える,#723F2F,鹿毛の茶,#F6F6F4,角の白,#A6382B,飾り布の赤,#1F2068,装束の藍,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
梵天玩具,梵天玩具|Bonten Toy|Festival Bonten Toy,白い紙房、朱い結びと金の軸が祭礼を映す,#F6F6F4,紙房の白,#D12F4C,結びの朱,#B7833D,軸飾りの金,#895C3D,柄の木茶,s|d|ltg,,セパレーション
津軽ずぐりこま,津軽ずぐりこま|Tsugaru Zuguri-goma|Snow Top,白木に赤青黄の輪、雪上で色が回転して溶ける,#EAE6E0,木地の生成り,#DA3335,輪彩の赤,#325A9D,輪彩の青,#EAC73D,輪彩の黄,v|b|s,ツヤケシ,リピテーション配色
林檎こま,林檎こま|Apple Top|Ringo-goma,林檎の赤、葉の緑と木軸の茶が小さく回る,#9F1628,林檎の赤,#30884A,葉の緑,#684B3D,木軸の茶,#F6F6F4,果肉の白,v|s|d,ツヤケシ,ナチュラルハーモニー
船渡張子,船渡張子|Funato Hariko|Funato Papier-mache Toy,胡粉の白、朱と藍の彩色が素朴な張子に残る,#F6F6F4,胡粉の白,#E72315,彩色の朱,#352F9B,彩色の藍,#111111,髪の黒,s|dp|ltg,ツヤケシ,セパレーション
鴻巣練物人形,鴻巣練物人形|Konosu Nerimono Doll|Konosu Doll,胡粉の肌、紅い衣と黒髪が節句の座敷に映える,#F6F6F4,顔の胡粉白,#CE626D,衣の紅,#111111,髪の黒,#C9A559,帯の金,s|dp|ltg,ツヤケシ,セパレーション
高崎張子,高崎張子|Takasaki Hariko|Takasaki Papier-mache,白い張子に赤と黒、黄いろい飾りが力強く映える,#F6F6F4,地塗りの白,#AE2E3E,彩色の赤,#111111,彩色の黒,#E2B946,飾りの黄,v|s|dp,ツヤケシ,セパレーション
鯛ぼんぼり,鯛ぼんぼり|Tai Bonbori|Sea-bream Lantern,鯛の朱赤、白い腹と金の灯りが北陸に揺れる,#EB593C,鯛身の朱赤,#F6F6F4,腹の白,#B9A73A,灯火の金,#111111,目の黒,v|s|dp,,セパレーション
三角だるま,三角だるま|Sankaku Daruma|Triangle Daruma,赤い三角胴、白い顔と黒文字が雪国に立つ,#B9302A,胴の赤,#F6F6F4,顔の白,#111111,文字の黒,#C9983C,飾りの金,v|s|dp,ツヤケシ,セパレーション
八幡起き上がり,八幡起き上がり|Hachiman Okiagari|Hachiman Tumbler,紅い胴、白い顔と金の紋が小さく起き上がる,#D2203E,胴の紅,#F6F6F4,顔の白,#C7B226,紋の金,#111111,髪の黒,v|s|dp,ツヤケシ,セパレーション
金沢獅子頭,金沢獅子頭|Kanazawa Shishigashira|Kanazawa Lion Head,朱い獅子頭、金歯と黒い毛が城下の祭りを映す,#C53C1B,獅子頭の朱,#C5B45A,歯飾りの金,#111111,毛の黒,#F6F6F4,目の白,s|dp|dk,,セパレーション
有馬人形筆,有馬人形筆|Arima Ningyo Fude|Arima Doll Brush,竹肌の淡黄、赤い人形と黒髪が筆先から現れる,#BDA388,竹軸の淡黄,#CF1A21,人形衣の赤,#111111,髪の黒,#F6F6F4,顔の白,s|d|ltg,ツヤケシ,ナチュラルハーモニー
城崎麦わら細工,城崎麦わら細工|Kinosaki Straw Craft|Mugiwara Zaiku,麦藁の金茶、赤青の細片が箱面に幾何学を描く,#B38E3F,麦藁の金茶,#CD4158,染め藁の赤,#2D5F90,染め藁の青,#D3CABE,地藁の生成り,s|d|ltg,ツヤケシ,リピテーション配色
神農さんの虎,神農さんの虎|Shinno-san Tiger|Osaka Tiger Charm,黄いろい虎身、黒い縞と朱い口が薬の神を守る,#ECED90,虎身の黄,#111111,縞の黒,#DB6244,口の朱,#F6F6F4,腹の白,v|s|dp,ツヤケシ,セパレーション
法華寺守り犬,法華寺守り犬|Hokkeji Guardian Dog|Mamori Inu,白い犬形、朱い紐と黒い目が古寺の祈りを結ぶ,#F6F6F4,犬形の白,#961F1E,結び紐の朱,#111111,目の黒,#B68B5D,土台の黄土,s|d|ltg,ツヤケシ,セパレーション
流し雛,流し雛|Nagashi-bina|Floating Hina Doll,藁舟の黄土、白い紙雛と紅い衣が川面を流れる,#98742A,藁舟の黄土,#F6F6F4,紙雛の白,#B23F63,衣の紅,#76A9C0,水面の青,s|d|ltg,,ナチュラルハーモニー
素隠居,素隠居|Suinkyo Mask Toy|Kurashiki Suinkyo,白い面、赤い頬と黒い眉が祭礼の笑いを誘う,#F6F6F4,面の白,#CC3D3E,頬の赤,#111111,眉の黒,#363987,頭巾の藍,s|dp|ltg,ツヤケシ,セパレーション
大垣祭,大垣祭|Ogaki Festival|Ogaki Matsuri,黒漆の軕、金具と朱幕が水都の城下を巡る,#111111,軕の黒漆,#D1962B,飾金具の金,#E74416,幕の朱,#F6F6F4,提灯の白,s|dp|dk,ラメ,セパレーション
知立まつり,知立まつり|Chiryu Festival|Chiryu Matsuri,山車の黒金、朱幕と白い人形が街道を進む,#111111,山車の黒漆,#CBA467,飾りの金,#A7151D,幕の朱,#F6F6F4,人形衣の白,s|dp|dk,ラメ,セパレーション
須成祭,須成祭|Sunari Festival|Sunari Matsuri,車楽船の金と朱、白提灯が川面に連なる,#BBA122,舟飾りの金,#9F2A3D,幕の朱,#F6F6F4,提灯の白,#393674,川面の藍,s|dp|ltg,ラメ,対照トーン配色
鳥出神社の鯨船行事,鳥出神社の鯨船行事|Tomida Whale-ship Festival|Kujirabune Festival,鯨船の黒白、金具と朱が港町の道を進む,#111111,鯨船の黒,#F6F6F4,鯨腹の白,#B7852A,飾金具の金,#DB4331,幕の朱,s|dp|dk,ラメ,セパレーション
上野天神祭,上野天神祭|Ueno Tenjin Festival|Ueno Tenjin Matsuri,鬼面の朱黒、金のだんじりが城下を練り歩く,#EB552C,鬼面の朱,#111111,鬼面の黒,#DFAD4B,だんじりの金,#F6F6F4,装束の白,s|dp|dk,ラメ,セパレーション
桑名石取祭,桑名石取祭|Kuwana Ishidori Festival|Ishidori Matsuri,祭車の黒金、朱い提灯が夜の町で太鼓に揺れる,#111111,祭車の黒漆,#A48D3A,飾金具の金,#912C24,提灯の朱,#D28F42,灯火の橙,s|dp|dk,ラメ,対照トーン配色
戸畑祇園大山笠,戸畑祇園大山笠|Tobata Gion Oyamagasa|Tobata Gion Festival,無数の提灯の黄橙、夜空の黒に山笠が浮かぶ,#E6DD98,提灯灯の黄,#D87619,灯火の橙,#111111,夜空の黒,#F6F6F4,法被の白,v|s|dp,ラメ,対照トーン配色
八代妙見祭,八代妙見祭|Yatsushiro Myoken Festival|Myoken Festival,亀蛇の緑黒、金具と朱が秋の城下を巡る,#4B9C48,亀蛇の緑,#111111,甲の黒,#C7A53F,飾金具の金,#B32C31,幕の朱,s|dp|dk,ラメ,ナチュラルハーモニー
常陸大津の御船祭,常陸大津の御船祭|Hitachi Otsu Ofune Festival|Ofune Matsuri,御船の白木、朱幕と金具が港の坂を進む,#E4DBCE,船体の白木,#EC6534,幕の朱,#A47638,金具の金,#111111,車輪の黒,s|d|dk,,ナチュラルハーモニー
村上大祭,村上大祭|Murakami Taisai|Murakami Grand Festival,おしゃぎりの黒金、朱幕と白提灯が城下を巡る,#111111,屋台の黒漆,#AB9C3B,飾金具の金,#BD293F,幕の朱,#F6F6F4,提灯の白,s|dp|dk,ラメ,セパレーション
放生津八幡宮祭,放生津八幡宮祭|Hojotsu Hachimangu Festival|Hojotsu Hikiyama Festival,曳山の黒金、朱幕と海の青が港町で交わる,#111111,曳山の黒漆,#DAAD59,飾金具の金,#DF251E,幕の朱,#4F8AC3,海の青,s|dp|dk,ラメ,対照色相配色
盛岡秋まつり,盛岡秋まつり|Morioka Autumn Festival|Morioka Aki Matsuri,山車の朱金、白い人形と藍幕が城下を進む,#C31C28,山車飾りの朱,#D4B026,飾金具の金,#F6F6F4,人形衣の白,#3A4E7E,幕の藍,s|dp|ltg,ラメ,セパレーション
二本松提灯祭り,二本松提灯祭り|Nihonmatsu Lantern Festival|Nihonmatsu Chochin Matsuri,赤い提灯と橙の灯、夜の黒に太鼓台が連なる,#C9352A,提灯の赤,#CF671E,灯火の橙,#111111,夜空の黒,#F6F6F4,法被の白,v|s|dp,,対照トーン配色
白河提灯まつり,白河提灯まつり|Shirakawa Lantern Festival|Shirakawa Chochin Matsuri,白提灯の灯、朱い神輿と夜の黒が城下を流れる,#F6F6F4,提灯の白,#E4693E,神輿の朱,#DB8A29,灯火の橙,#111111,夜空の黒,s|dp|ltg,,対照トーン配色
石岡のおまつり,石岡のおまつり|Ishioka Festival|Ishioka no Omatsuri,獅子頭の朱、金の山車と白装束が町を埋める,#DA584B,獅子頭の朱,#C49556,山車飾りの金,#F6F6F4,装束の白,#111111,髪飾りの黒,s|dp|dk,ラメ,セパレーション
佐倉秋祭り,佐倉秋祭り|Sakura Autumn Festival|Sakura Aki Matsuri,山車の黒金、朱い提灯と白幕が城下を巡る,#111111,山車の黒漆,#D39D4F,飾金具の金,#DE1B31,提灯の朱,#F6F6F4,幕の白,s|dp|dk,ラメ,セパレーション
湘南ひらつか七夕まつり,湘南ひらつか七夕まつり|Shonan Hiratsuka Tanabata Festival|Hiratsuka Tanabata,吹流しの赤青黄、銀飾りが夏空に長く揺れる,#B12514,吹流しの赤,#4F6BC3,吹流しの青,#ECE06F,吹流しの黄,#C4C4C4,飾りの銀,v|b|s,ラメ,リピテーション配色
日枝神社山王祭,日枝神社山王祭|Sanno Matsuri|Hie Shrine Festival,朱の神輿、金具と白装束が都心の道を進む,#D14413,神輿の朱,#D1B566,飾金具の金,#F6F6F4,装束の白,#111111,馬具の黒,s|dp|ltg,,セパレーション
深川八幡祭り,深川八幡祭り|Fukagawa Hachiman Festival|Fukagawa Matsuri,白装束と藍法被、水しぶきの青が神輿を包む,#F6F6F4,装束の白,#25287C,法被の藍,#7CB6C2,水しぶきの青,#D89337,神輿飾りの金,s|d|ltg,,ナチュラルハーモニー
大國魂神社くらやみ祭,大國魂神社くらやみ祭|Kurayami Matsuri|Okunitama Shrine Festival,朱い提灯と金の神輿、夜の黒が名の通り深い,#D2323B,提灯の朱,#C4A951,神輿飾りの金,#111111,夜空の黒,#F6F6F4,装束の白,s|dp|dk,,対照トーン配色
ベンゾイン,ベンゾイン|benzoin|benzoin resin,琥珀色の樹脂、赤茶の粒と白煙が甘く立ちのぼる,#95531C,樹脂の琥珀,#B36945,樹脂粒の赤茶,#857239,割口の黄土,#F6F6F4,香煙の白,d|dk|ltg,,トーン・オン・トーン配色
ラブダナム,ラブダナム|labdanum|rock rose resin,濃い樹脂茶、琥珀の照りと灰緑の葉が重く香る,#553A21,樹脂の濃茶,#A36F21,照りの琥珀,#A4CC96,葉の灰緑,#B65541,枝の赤茶,d|dk|dkg,,ナチュラルハーモニー
オークモス,オークモス|oakmoss|Evernia prunastri,苔の深緑、灰緑と樹皮の茶が湿った森を思わせる,#1F4325,苔の深緑,#AEC1A3,乾燥苔の灰緑,#473129,樹皮の茶,#888888,地衣の灰,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
ガルバナム,ガルバナム|galbanum|galbanum resin,鮮烈な緑の樹脂、黄緑と茎の青さが鼻を抜ける,#307230,樹脂の緑,#617632,若芽の黄緑,#458893,茎の青緑,#976423,乾燥樹脂の琥珀,v|s|d,,類似色相配色
アンブレットシード,アンブレットシード|ambrette seed|musk mallow seed,灰茶の種、黄土の粉と淡緑の莢が柔らかく香る,#835244,種子の灰茶,#B7A25D,粉末の黄土,#85B163,莢の淡緑,#ECDF54,花の淡黄,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
オリスルート,オリスルート|orris root|iris root,乾いた根の生成り、灰茶と淡紫が粉香に残る,#D8D1B7,乾燥根の生成り,#72563B,根皮の灰茶,#BA96D4,花影の淡紫,#F6F6F4,粉末の白,ltg|sf|d,ツヤケシ,トーナル配色
プチグレン,プチグレン|petitgrain|bitter orange leaf oil,濃緑の葉、白花と橙果皮が青くほろ苦く香る,#1E5220,葉の濃緑,#F6F6F4,花の白,#D17C40,果皮の橙,#769446,若枝の黄緑,s|d|lt,,ナチュラルハーモニー
チャンパカ,チャンパカ|champaca|Magnolia champaca,橙黄の花弁、深緑の葉と赤茶の枝が甘く香る,#E88535,花弁の橙黄,#BA8D22,花芯の金黄,#325E3E,葉の深緑,#813326,枝の赤茶,s|d|lt,,ナチュラルハーモニー
マグノリア,マグノリア|magnolia scent|magnolia flower,乳白の花弁、淡桃の影と深緑の葉が静かに香る,#EAE8D7,花弁の乳白,#E29BBA,花影の淡桃,#285028,葉の深緑,#F2E388,花芯の黄,p|lt|sf,,ナチュラルハーモニー
クチナシ,クチナシ|gardenia|gardenia scent,白い花弁、黄いろい芯と濃緑の葉が濃密に香る,#F6F6F4,花弁の白,#EFD765,花芯の黄,#296036,葉の濃緑,#87A87F,蕾の淡緑,b|lt|sf,,ナチュラルハーモニー
サイプレス,サイプレス|cypress|cypress oil,針葉の深緑、灰茶の球果と赤茶の樹皮が乾く,#246227,針葉の深緑,#8E653C,球果の灰茶,#934326,樹皮の赤茶,#2E947C,若葉の青緑,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
キャロットシード,キャロットシード|carrot seed|carrot seed oil,褐色の種、白花と青緑の葉が土っぽく香る,#814D31,種子の褐色,#F6F6F4,花の白,#46B047,葉の青緑,#C95D27,根の橙,d|ltg|s,ツヤケシ,ナチュラルハーモニー
コパイバ,コパイバ|copaiba|copaiba balsam,淡い琥珀の樹脂、赤茶の樹皮と緑葉が柔らかい,#83652B,樹脂の淡琥珀,#A9532A,樹皮の赤茶,#3C9E5D,葉の緑,#A47747,木部の黄土,d|ltg|sf,,ナチュラルハーモニー
エレミ,エレミ|elemi|elemi resin,乳白の樹脂、淡黄の透けと緑葉が柑橘を思わせる,#D6D1BF,樹脂の乳白,#E9D33A,透過光の淡黄,#36C35A,葉の緑,#C1B481,樹皮の薄茶,lt|sf|d,,ナチュラルハーモニー
ナルド,ナルド|spikenard|nard,根の焦茶、黄土の粉と灰緑の葉が土深く香る,#69442F,根の焦茶,#8E7A33,粉末の黄土,#88C080,葉の灰緑,#AA5449,茎の赤茶,d|dk|ltg,ツヤケシ,トーナル配色
ダヴァナ,ダヴァナ|davana|Artemisia pallens,黄いろい花、灰緑の葉と赤茶の茎が甘く香る,#E3C26E,花の黄,#8BAB6E,葉の灰緑,#975631,茎の赤茶,#BD8651,乾燥葉の黄土,s|d|ltg,ツヤケシ,ナチュラルハーモニー
カシス芽,カシス芽|blackcurrant bud|cassis bud,濃緑の芽、紫黒の果皮と赤い軸が青く香る,#2C7941,芽の濃緑,#7B49AE,果皮の紫,#B73D2E,芽軸の赤,#75B86C,葉裏の灰緑,s|d|dp,,コンプレックスハーモニー
バイオレットリーフ,バイオレットリーフ|violet leaf|violet leaf absolute,濃緑の葉、青緑の影と紫花が湿って香る,#2D762B,葉の濃緑,#2D7B79,葉影の青緑,#A255B1,花の紫,#A4BC90,葉脈の淡緑,s|d|sf,,類似色相配色
グレープフルーツ,グレープフルーツ|grapefruit,黄いろい果皮、淡桃の果肉と白いわたが弾ける,#DFC344,果皮の黄,#C28391,果肉の淡桃,#F6F6F4,わたの白,#2D9B41,葉の緑,b|lt|sf,,ナチュラルハーモニー
マンダリン,マンダリン|mandarin orange|mandarin,鮮橙の果皮、淡黄の果肉と緑葉が甘く明るい,#DC823A,果皮の鮮橙,#F0EA63,果肉の淡黄,#2A8A3F,葉の緑,#F6F6F4,わたの白,v|b|s,,ナチュラルハーモニー
