表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
チンアナゴ,チンアナゴ|Spotted Garden Eel,体地白と斑点黒が白砂の海底で輪郭をつくる,#F6F6F4,体地の白,#111111,斑点の黒,#CBB87C,砂底の黄土,#5EA9C1,海水の青,s|d|ltg,,セパレーション
ニシキアナゴ,ニシキアナゴ|Splendid Garden Eel,体表橙と帯白。砂底の群落に色が浮かぶ,#DC9E3B,体表の橙,#F6F6F4,帯の白,#111111,斑点の黒,#496ACA,海水の青,v|s|dp,,セパレーション
コノハチョウ,コノハチョウ|Orange Oakleaf,翅表青に翅帯橙。林床の落葉で鮮やかに光る,#224998,翅表の青,#B96C2E,翅帯の橙,#834636,翅裏の枯茶,#111111,翅縁の黒,s|d|dp,,コンプレックスハーモニー
カバマダラ,カバマダラ|Plain Tiger,翅地橙と翅脈黒が草原の花で輪郭をつくる,#EA9642,翅地の橙,#111111,翅脈の黒,#F6F6F4,斑点の白,#298224,草葉の緑,v|s|dp,,セパレーション
スジグロカバマダラ,スジグロカバマダラ|Blue Tiger,翅地黒と翅斑淡青。木陰の花に色が浮かぶ,#111111,翅地の黒,#759BC6,翅斑の淡青,#F6F6F4,縁点の白,#5C377B,花の紫,s|dp|ltg,,セパレーション
リュウキュウアサギマダラ,リュウキュウアサギマダラ|Ceylon Blue Glassy Tiger,翅斑浅葱に翅脈黒。南島の森で鮮やかに光る,#53B8B5,翅斑の浅葱,#111111,翅脈の黒,#F6F6F4,縁点の白,#409C5E,林葉の緑,s|dp|ltg,,セパレーション
ウラギンシジミ,ウラギンシジミ|Angled Sunbeam,翅裏銀白と翅表橙が林縁の葉で輪郭をつくる,#C4C4C4,翅裏の銀白,#EE7C42,翅表の橙,#4E2A21,翅地の焦茶,#489E40,葉の緑,s|d|ltg,ラメ,ナチュラルハーモニー
ツバメシジミ,ツバメシジミ|Short-tailed Blue,翅表青と翅裏灰。春草の花に色が浮かぶ,#2563A4,翅表の青,#444444,翅裏の灰,#D69950,尾端の橙,#F6F6F4,花の白,s|d|ltg,,セパレーション
ルリシジミ,ルリシジミ|Holly Blue,翅表瑠璃に翅裏白。林縁の光で鮮やかに光る,#2B5ADD,翅表の瑠璃,#F6F6F4,翅裏の白,#111111,斑点の黒,#32BA61,若葉の緑,s|dp|ltg,,セパレーション
ミドリヒョウモン,ミドリヒョウモン|Dark Green Fritillary,翅表橙と斑紋黒が夏草の野で輪郭をつくる,#DD5D1C,翅表の橙,#111111,斑紋の黒,#2FC64E,翅裏の緑,#C4C4C4,裏斑の銀,v|s|dp,ラメ,コンプレックスハーモニー
ヒオドシチョウ,ヒオドシチョウ|Large Tortoiseshell,翅地赤橙と斑紋黒。春先の樹液に色が浮かぶ,#E95E39,翅地の赤橙,#111111,斑紋の黒,#2A8CC7,翅縁の青,#7F5A32,樹皮の茶,v|s|dp,,コンプレックスハーモニー
ヨナグニサン,ヨナグニサン|Atlas Moth,翅地赤茶に蛇頭紋黄。南島の夜で鮮やかに光る,#A7522C,翅地の赤茶,#F0CE34,蛇頭紋の黄,#F6F6F4,窓紋の白,#111111,夜の黒,s|d|dk,,セパレーション
トマトガエル,トマトガエル|Tomato Frog,体表赤橙と腹部淡黄が湿った林床で輪郭をつくる,#CA3E12,体表の赤橙,#E5DC3F,腹部の淡黄,#111111,眼の黒,#265733,苔の緑,v|s|dp,,対照色相配色
マダライモリ,マダライモリ|Marbled Newt,背面緑と網目黒。湿地の草間に色が浮かぶ,#42BC35,背面の緑,#111111,網目の黒,#D3734C,腹部の橙,#656C2F,水草の緑,s|d|dp,,コンプレックスハーモニー
シリケンイモリ,シリケンイモリ|Sword-tailed Newt,背面黒に腹面橙赤。島の水辺で鮮やかに光る,#111111,背面の黒,#D38653,腹面の橙赤,#E3BA3F,尾線の黄,#268C4A,水草の緑,v|s|dp,,セパレーション
イボイモリ,イボイモリ|Anderson's Crocodile Newt,体表黒と腹面橙が森の沢筋で輪郭をつくる,#111111,体表の黒,#EB852E,腹面の橙,#DE3F2E,指先の赤,#1F471E,苔の緑,v|s|dp,,セパレーション
スズガエル,スズガエル|Oriental Fire-bellied Toad,背面緑と腹面赤。浅い湿地に色が浮かぶ,#4DAF45,背面の緑,#D2182F,腹面の赤,#111111,斑紋の黒,#8DBACD,水面の青,v|s|dp,,対照色相配色
アマゾンミルキーフロッグ,アマゾンミルキーフロッグ|Amazon Milk Frog,体表白に斑紋焦茶。熱帯雨林の枝で鮮やかに光る,#F6F6F4,体表の白,#8F5B35,斑紋の焦茶,#55AAB7,指先の青,#299242,葉の緑,s|d|ltg,,ナチュラルハーモニー
ジャクソンカメレオン,ジャクソンカメレオン|Jackson's Chameleon,体表緑と角黄土が山地の樹上で輪郭をつくる,#2CB54F,体表の緑,#B39831,角の黄土,#DFDE5E,眼の黄,#5A412C,枝の茶,s|d|ltg,,ナチュラルハーモニー
エボシカメレオン,エボシカメレオン|Veiled Chameleon,体表黄緑と横帯黄。乾いた樹上に色が浮かぶ,#505D39,体表の黄緑,#F2CB53,横帯の黄,#2A518E,斑紋の青,#8B6646,枝の茶,v|s|d,,コンプレックスハーモニー
グリーンバシリスク,グリーンバシリスク|Plumed Basilisk,体表緑に背冠黄緑。熱帯の水辺で鮮やかに光る,#2AA346,体表の緑,#889351,背冠の黄緑,#DCBC65,眼の黄,#82CABE,水面の青,b|s|d,,類似色相配色
アカアシガメ,アカアシガメ|Red-footed Tortoise,甲羅焦茶と脚斑赤が南米の林床で輪郭をつくる,#603224,甲羅の焦茶,#902534,脚斑の赤,#E8D290,頭斑の黄,#B58F51,落葉の黄土,s|d|dk,,ナチュラルハーモニー
キンチャクガニ,キンチャクガニ|Pom-pom Crab,甲羅淡茶と脚赤。珊瑚礁の岩陰に色が浮かぶ,#B99D87,甲羅の淡茶,#C1362F,脚の赤,#F6F6F4,イソギンチャクの白,#A451B9,斑点の紫,v|s|lt,,コンプレックスハーモニー
アカホシカニダマシ,アカホシカニダマシ|Spotted Porcelain Crab,甲羅白に赤い斑点。イソギンチャクの縁で鮮やかに光る,#F6F6F4,甲羅の白,#E72946,赤い斑点,#814AC3,脚の紫,#387935,宿主の緑,v|s|lt,,コンプレックスハーモニー
ムラサキオカヤドカリ,ムラサキオカヤドカリ|Purple Land Hermit Crab,脚紫と鋏淡紫が南島の浜で輪郭をつくる,#512985,脚の紫,#B693D9,鋏の淡紫,#F6F6F4,貝殻の白,#CBA384,砂浜の黄土,s|d|ltg,,類似色相配色
シオマネキ,シオマネキ|Fiddler Crab,大鋏白と甲羅焦茶。干潟の泥面に色が浮かぶ,#F6F6F4,大鋏の白,#8A4B31,甲羅の焦茶,#A21226,脚の赤,#B9A251,干潟の黄土,s|d|ltg,,ナチュラルハーモニー
アカテガニ,アカテガニ|Red-clawed Crab,鋏赤に甲羅焦茶。海岸林の夕方で鮮やかに光る,#E21724,鋏の赤,#744C32,甲羅の焦茶,#E5794A,脚の橙,#386735,林床の緑,s|d|dp,,ナチュラルハーモニー
ホワイトソックス,ホワイトソックス|Blood Red Fire Shrimp,体表深紅と脚先白が珊瑚礁の洞窟で輪郭をつくる,#782239,体表の深紅,#F6F6F4,脚先の白,#C4C4C4,触角の白,#2C4A68,洞窟の藍,s|dp|dk,ラメ,セパレーション
スカンクシュリンプ,スカンクシュリンプ|Pacific Cleaner Shrimp,体帯赤と背線白。掃除場の岩陰に色が浮かぶ,#CD5248,体帯の赤,#F6F6F4,背線の白,#DEDA67,体側の淡黄,#206BC5,海水の青,v|s|lt,,セパレーション
キャメルシュリンプ,キャメルシュリンプ|Camel Shrimp,体表赤に白い斑線。夜の岩陰で鮮やかに光る,#C81417,体表の赤,#F6F6F4,白い斑線,#D9A26B,腹部の橙,#5B382B,岩陰の焦茶,v|s|d,,リピテーション配色
アオヒトデ,アオヒトデ|Blue Sea Star,体表青と管足淡青が浅い礁池で輪郭をつくる,#1C669D,体表の青,#4DD4D3,管足の淡青,#F6F6F4,砂底の白,#2DA42E,海藻の緑,s|b|lt,,類似色相配色
ウコンハネガイ,ウコンハネガイ|Electric Flame Scallop,外套膜赤と電光青。礁洞の暗がりに色が浮かぶ,#DD373D,外套膜の赤,#4E78C4,電光の青,#F6F6F4,貝殻の白,#111111,洞窟の黒,v|s|dp,ラメ,補色配色
気多の鵜祭,気多の鵜祭|Keta U Matsuri,社殿朱に装束白。冬の社頭を行列が彩る,#BC4925,社殿の朱,#F6F6F4,装束の白,#C29E1F,飾りの金,#479543,境内の緑,s|dp|ltg,,セパレーション
見付天神裸祭,見付天神裸祭|Mitsuke Tenjin Hadaka Matsuri,夜黒と提灯橙が夜の境内を鮮やかに照らす,#111111,夜の黒,#B75B25,提灯の橙,#AC1C36,祭具の赤,#F6F6F4,装束の白,s|dp|dk,,セパレーション
室根神社祭のマツリバ行事,室根神社祭のマツリバ行事|Muro-ne Jinja Matsuriba,社殿朱と装束白。山里の参道に祭りの色が立つ,#C93D26,社殿の朱,#F6F6F4,装束の白,#AA7734,飾りの金,#4EAF63,境内の緑,s|dp|ltg,,セパレーション
東湖八坂神社統人行事,東湖八坂神社統人行事|Toko Yasaka Tojin Gyōji,社殿朱に装束白。夏の社前を行列が彩る,#D96344,社殿の朱,#F6F6F4,装束の白,#B6891C,飾りの金,#4CB158,境内の緑,s|dp|ltg,,セパレーション
涌出宮の宮座行事,涌出宮の宮座行事|Wakide-no-miya Miyaza,社殿朱と装束白が古社の座を鮮やかに照らす,#D0311A,社殿の朱,#F6F6F4,装束の白,#BA8E35,飾りの金,#2E6E38,境内の緑,s|dp|ltg,,セパレーション
近江中山の芋競べ祭り,近江中山の芋競べ祭り|Omi Nakayama Imo-kurabe Matsuri,供物黄土と祭具朱。里山の祭場に祭りの色が立つ,#8B7531,供物の黄土,#982819,祭具の朱,#F6F6F4,装束の白,#2D7625,里の緑,d|ltg|sf,,ナチュラルハーモニー
白間津の大祭,白間津の大祭|Shiramazu Omatsuri,海青に祭具朱。海辺の集落を行列が彩る,#518CC6,海の青,#C41A32,祭具の朱,#F6F6F4,波の白,#E2D0AE,浜の黄土,s|b|lt,,対照色相配色
発光路の強飯式,発光路の強飯式|Hokkoji Gohanshiki,供物黄土と祭具朱が山寺の堂前を鮮やかに照らす,#BA8757,供物の黄土,#A22B2E,祭具の朱,#F6F6F4,装束の白,#339332,里の緑,d|ltg|sf,,ナチュラルハーモニー
貴船神社の船祭り,貴船神社の船祭り|Kibune Jinja Funa Matsuri,祭舟朱と水面青。真鶴の海に祭りの色が立つ,#CC3A40,祭舟の朱,#378BDC,水面の青,#CD7A14,提灯の橙,#F6F6F4,装束の白,s|dp|ltg,,対照色相配色
茂名の里芋祭,茂名の里芋祭|Mona Satoimo Matsuri,供物黄土に祭具朱。房総の里を行列が彩る,#D08139,供物の黄土,#DF2C2F,祭具の朱,#F6F6F4,装束の白,#367F50,里の緑,d|ltg|sf,,ナチュラルハーモニー
三上のずいき祭り,三上のずいき祭り|Mikami Zuiki Matsuri,供物黄土と祭具朱が近江の社前を鮮やかに照らす,#9E783E,供物の黄土,#C82D47,祭具の朱,#F6F6F4,装束の白,#388B55,里の緑,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
金沢の羽山ごもり,金沢の羽山ごもり|Kanazawa Hayama-gomori,夜黒と提灯橙。冬の山里に祭りの色が立つ,#111111,夜の黒,#D06512,提灯の橙,#A72C43,祭具の赤,#F6F6F4,装束の白,s|dp|dk,,セパレーション
塩屋湾のウンガミ,塩屋湾のウンガミ|Shioya-wan Ungami,海青に祭具朱。沖縄の湾岸を行列が彩る,#1F45BA,海の青,#B93341,祭具の朱,#F6F6F4,波の白,#C9BFA2,浜の黄土,s|b|lt,,対照色相配色
等覚寺の松会,等覚寺の松会|Tokakuji Matsue,炎橙と炎芯赤が山寺の境内を鮮やかに照らす,#CB6726,炎の橙,#AB1B20,炎芯の赤,#111111,夜の黒,#F6F6F4,装束の白,v|s|dp,,セパレーション
山北のボタモチ祭り,山北のボタモチ祭り|Yamakita Botamochi Matsuri,供物黄土と祭具朱。越後の里に祭りの色が立つ,#C78644,供物の黄土,#B1301E,祭具の朱,#F6F6F4,装束の白,#33C541,里の緑,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
滑川のネブタ流し,滑川のネブタ流し|Namerikawa Nebuta Nagashi,海青に祭具朱。富山湾の夕暮れを行列が彩る,#2C6387,海の青,#D3223F,祭具の朱,#F6F6F4,波の白,#D3BEAD,浜の黄土,s|b|lt,,対照色相配色
田島祇園祭のおとうや行事,田島祇園祭のおとうや行事|Tajima Gion Otoya,社殿朱と装束白が会津の町並みを鮮やかに照らす,#DC4D2D,社殿の朱,#F6F6F4,装束の白,#BEAD36,飾りの金,#42873B,境内の緑,s|dp|ltg,,セパレーション
大江八幡神社の御船行事,大江八幡神社の御船行事|Oe Hachiman Mifune,祭舟朱と水面青。遠州の川辺に祭りの色が立つ,#A23327,祭舟の朱,#276CB7,水面の青,#E58A64,提灯の橙,#F6F6F4,装束の白,s|dp|ltg,,対照色相配色
熊甲二十日祭,熊甲二十日祭|Kumakabuto Hatsuka Matsuri,社殿朱に装束白。能登の里を行列が彩る,#CF5225,社殿の朱,#F6F6F4,装束の白,#9F9232,飾りの金,#2F8B35,境内の緑,s|dp|ltg,,セパレーション
河内祭の御舟行事,河内祭の御舟行事|Kochi Matsuri Ofune,祭舟朱と水面青が紀南の川面を鮮やかに照らす,#8E1F26,祭舟の朱,#256FD9,水面の青,#EA9F33,提灯の橙,#F6F6F4,装束の白,s|dp|ltg,,対照色相配色
片品の猿追い祭,片品の猿追い祭|Katashina Saruoi Matsuri,夜黒と提灯橙。山村の雪道に祭りの色が立つ,#111111,夜の黒,#F19F5A,提灯の橙,#E12F4C,祭具の赤,#F6F6F4,装束の白,s|dp|dk,,セパレーション
甑島のトシドン,甑島のトシドン|Koshikijima Toshidon,夜黒に提灯橙。島の大晦日を行列が彩る,#111111,夜の黒,#D77314,提灯の橙,#AA2B27,祭具の赤,#F6F6F4,装束の白,s|dp|dk,,セパレーション
能登のアマメハギ,能登のアマメハギ|Noto Amamehagi,夜黒と提灯橙が冬の能登を鮮やかに照らす,#111111,夜の黒,#D17D43,提灯の橙,#9F201A,祭具の赤,#F6F6F4,装束の白,s|dp|dk,,セパレーション
南薩摩の十五夜行事,南薩摩の十五夜行事|Minamisatsuma Jugoya,夜黒と提灯橙。月夜の広場に祭りの色が立つ,#111111,夜の黒,#DF862D,提灯の橙,#D04752,祭具の赤,#F6F6F4,装束の白,s|dp|dk,,セパレーション
六郷のカマクラ行事,六郷のカマクラ行事|Rokugo Kamakura,炎橙に炎芯赤。雪国の夜を行列が彩る,#ECA85A,炎の橙,#C63028,炎芯の赤,#111111,夜の黒,#F6F6F4,装束の白,v|s|dp,ラメ,セパレーション
秋名のアラセツ行事,秋名のアラセツ行事|Akina Arasetsu,海青と祭具朱が奄美の浜を鮮やかに照らす,#18349B,海の青,#BA2427,祭具の朱,#F6F6F4,波の白,#CFB07D,浜の黄土,s|b|lt,,対照色相配色
猪俣の百八燈,猪俣の百八燈|Inomata Hyakuhatto,炎橙と炎芯赤。丘陵の夜に祭りの色が立つ,#E69E65,炎の橙,#AE2114,炎芯の赤,#111111,夜の黒,#F6F6F4,装束の白,v|s|dp,,セパレーション
下崎山のヘトマト行事,下崎山のヘトマト行事|Shimozakiyama Hetomato,夜黒に提灯橙。五島の集落を行列が彩る,#111111,夜の黒,#D87B3A,提灯の橙,#E8201B,祭具の赤,#F6F6F4,装束の白,s|dp|dk,,セパレーション
青海の竹のからかい,青海の竹のからかい|Oumi Take-no-karakai,藁黄土と祭具赤が雪の町道を鮮やかに照らす,#D4A147,藁の黄土,#D54836,祭具の赤,#F6F6F4,装束の白,#3F984F,里山の緑,s|d|ltg,ツヤケシ,ナチュラルハーモニー
志摩加茂五郷の盆祭行事,志摩加茂五郷の盆祭行事|Shima Kamo Gogo Bon,夜黒と提灯橙。志摩の盆夜に祭りの色が立つ,#111111,夜の黒,#CA851A,提灯の橙,#DA433C,祭具の赤,#DCA642,盆灯の金,s|dp|dk,,セパレーション
野沢温泉の道祖神祭,野沢温泉の道祖神祭|Nozawa Onsen Dosojin Matsuri,炎橙に炎芯赤。雪夜の火祭を行列が彩る,#F0B354,炎の橙,#DA2B21,炎芯の赤,#111111,夜の黒,#F6F6F4,装束の白,v|s|dp,ラメ,セパレーション
吉浜のスネカ,吉浜のスネカ|Yoshihama Suneka,夜黒と提灯橙が冬の漁村を鮮やかに照らす,#111111,夜の黒,#E07730,提灯の橙,#E2183A,祭具の赤,#F6F6F4,装束の白,s|dp|dk,,セパレーション
鳥羽の火祭り,鳥羽の火祭り|Toba Hi Matsuri,炎橙と炎芯赤。三河湾の夜に祭りの色が立つ,#D0852E,炎の橙,#B12D35,炎芯の赤,#111111,夜の黒,#F6F6F4,装束の白,v|s|dp,,セパレーション
五十猛のグロ,五十猛のグロ|Isotake Guro,藁黄土に祭具赤。石見の浜を行列が彩る,#926B26,藁の黄土,#B43146,祭具の赤,#F6F6F4,装束の白,#3C8B46,里山の緑,s|d|ltg,,ナチュラルハーモニー
大善寺玉垂宮の鬼夜,大善寺玉垂宮の鬼夜|Daizenji Oniyo,炎橙と炎芯赤が筑後の夜を鮮やかに照らす,#D99048,炎の橙,#B41529,炎芯の赤,#111111,夜の黒,#F6F6F4,装束の白,v|s|dp,,セパレーション
月浜のえんずのわり,月浜のえんずのわり|Tsukihama Enzu-no-wari,藁黄土と祭具赤。浜の小正月に祭りの色が立つ,#9F8A3D,藁の黄土,#872624,祭具の赤,#F6F6F4,装束の白,#54AC4B,里山の緑,s|d|ltg,,ナチュラルハーモニー
