表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
フエヤッコダイ,フエヤッコダイ|Longnose Butterflyfish|Forcipiger flavissimus,鮮黄の体、白い顔と黒い眼帯が礁原に映える,#E3D178,体側の鮮黄,#F6F6F4,顔の白,#111111,眼帯の黒,#8FBED8,口先の淡青,v|b|dp,,セパレーション
チョウハン,チョウハン|Raccoon Butterflyfish|Chaetodon lunula,黄いろい体、黒い仮面と白帯が夜の礁に浮かぶ,#DBCB5E,体側の黄,#111111,眼帯の黒,#F6F6F4,額帯の白,#E57B43,鰭縁の橙,v|s|dp,,セパレーション
ベニシジミ,ベニシジミ|Small Copper|Lycaena phlaeas,橙赤の翅と黒い斑、灰褐色の裏翅が野原に舞う,#E29652,翅表の橙赤,#111111,斑点の黒,#794D3A,裏翅の灰褐色,#F6F6F4,縁毛の白,v|s|d,,セパレーション
ムラサキシジミ,ムラサキシジミ|Japanese Oakblue|Narathura japonica,紫青の翅表、褐色の裏翅が木漏れ日に開く,#6C3A94,翅表の紫青,#317CC3,翅表の青,#7C4736,裏翅の褐色,#111111,翅縁の黒,s|dp|d,ラメ,類似色相配色
ツマグロヒョウモン,ツマグロヒョウモン|Indian Fritillary|Argyreus hyperbius,橙の翅、黒い豹紋と白帯が花畑で揺れる,#DE9642,翅表の橙,#111111,豹紋の黒,#F6F6F4,前翅端の白,#7E422C,後翅の赤茶,v|s|dp,,リピテーション配色
キアゲハ,キアゲハ|Old World Swallowtail|Papilio machaon,黄黒の翅に青と赤の斑、夏草の上を舞う,#EAD681,翅地の黄,#111111,翅紋の黒,#285CB4,後翅の青斑,#AC2723,眼状紋の赤,v|s|dp,,中差色相配色
アオバセセリ,アオバセセリ|Green Skipper|Choaspes benjaminii,青緑の翅、橙の尾端が林縁で鮮やかに走る,#379B9E,翅表の青緑,#C96C2B,尾端の橙,#111111,翅縁の黒,#3D7ABE,鱗粉の青,v|s|dp,ラメ,対照色相配色
ベニモンアゲハ,ベニモンアゲハ|Common Rose Butterfly|Pachliopta aristolochiae,黒い翅に白斑と紅斑、細い尾が花間を切る,#111111,翅の黒,#F6F6F4,翅の白斑,#8A1C2A,後翅の紅斑,#BE2429,胴の赤,s|dp|dk,,セパレーション
チョウトンボ,チョウトンボ|Rhyothemis fuliginosa,青紫に輝く広い翅、黒い胴が水辺で揺れる,#303979,翅の青紫,#76359E,翅の紫光,#111111,胴の黒,#9AC4D8,水面の青,s|dp|d,ラメ,類似色相配色
オオスカシバ,オオスカシバ|Cephonodes hylas,透明な翅、緑の胴と橙黒の帯が花前で止まる,#3CA34A,胴の緑,#E4A354,腹帯の橙,#111111,腹帯の黒,#F6F6F4,翅膜の白,v|s|dp,,セパレーション
雑司ヶ谷すすきみみずく,雑司ヶ谷すすきみみずく|Zoshigaya Susuki Mimizuku|Susuki Owl,すすきの淡金、赤い嘴と黒い目が秋風に揺れる,#AE943A,すすきの淡金,#AF2334,嘴の赤,#111111,目の黒,#E1DBCB,穂の生成り,d|ltg|dk,ツヤケシ,ナチュラルハーモニー
駒込麦わら蛇,駒込麦わら蛇|Komagome Straw Snake|Mugiwara Hebi,麦藁の金茶、赤い舌と黒い目が縁起を結ぶ,#917635,麦藁の金茶,#C51D23,舌の赤,#111111,目の黒,#F6F6F4,飾り紙の白,d|ltg|dk,ツヤケシ,ナチュラルハーモニー
深大寺赤駒,深大寺赤駒|Jindaiji Akagoma|Red Horse Toy,朱赤の木馬、黒い鬣と白い目が素朴に映える,#CA3D21,馬体の朱赤,#111111,鬣の黒,#F6F6F4,目の白,#E9CF72,鞍の黄,s|dp|ltg,ツヤケシ,セパレーション
江ノ島河豚提灯,江ノ島河豚提灯|Enoshima Fugu Lantern|Pufferfish Lantern,河豚皮の淡茶、白い腹と黒い目に灯りが透ける,#D2C7AB,河豚皮の淡茶,#F6F6F4,腹の白,#111111,目の黒,#DF7B31,灯火の橙,d|ltg|s,,対照トーン配色
鎌倉宮板獅子,鎌倉宮板獅子|Kamakuragu Ita-jishi|Board Lion Toy,朱い獅子頭、金の飾りと白木が力強く並ぶ,#DA372C,獅子頭の朱,#CCBA5B,飾りの金,#D8CFBB,板の白木,#111111,目鼻の黒,s|dp|ltg,ツヤケシ,セパレーション
佐渡のろま人形,佐渡のろま人形|Sado Noroma Ningyo|Noroma Puppet,胡粉の顔、朱い口と藍の衣が芝居小屋を残す,#F6F6F4,顔の胡粉白,#CF3226,口の朱,#31347F,衣の藍,#111111,髪の黒,s|dp|ltg,ツヤケシ,セパレーション
桐原藁馬,桐原藁馬|Kirihara Warauma|Straw Horse,稲藁の黄土、赤い紐と白紙が正月を結ぶ,#936D39,稲藁の黄土,#A8201A,結び紐の赤,#F6F6F4,紙飾りの白,#563722,藁影の焦茶,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
野沢あけび鳩車,野沢あけび鳩車|Nozawa Akebi Hatoguruma|Akebi Dove Cart,あけび蔓の茶、赤い嘴と白い車輪が素朴に転がる,#69513A,あけび蔓の茶,#D5372E,嘴の赤,#F6F6F4,車輪の白,#DCBE54,飾りの黄,d|ltg|s,ツヤケシ,ナチュラルハーモニー
甲府まゆ人形,甲府まゆ人形|Kofu Mayu Ningyo|Cocoon Doll,繭の白、紅い衣と黒髪が小さな人形に宿る,#F6F6F4,繭の白,#CA394D,衣の紅,#111111,髪の黒,#D6BB51,帯の金,s|dp|ltg,ツヤケシ,セパレーション
越前竹人形,越前竹人形|Echizen Take Ningyo|Echizen Bamboo Doll,竹肌の淡黄、煤竹の茶と黒髪が静かに立つ,#C3B191,竹肌の淡黄,#784B30,煤竹の茶,#111111,髪の黒,#B92030,帯の朱,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
加賀魔よけ虎,加賀魔よけ虎|Kaga Mayoke Tora|Kaga Tiger Charm,黄いろい虎身、黒い縞と朱い口が魔を払う,#ECEB85,虎身の黄,#111111,縞の黒,#CF3B1A,口の朱,#F6F6F4,腹の白,v|s|dp,ツヤケシ,セパレーション
ぼんぼこ槍,ぼんぼこ槍|Bonboko Yari|Sendai Bonboko Spear,瓢箪の黄土、五色飾りが細い槍先に揺れる,#C19C4A,瓢箪の黄土,#9D273A,吹流しの赤,#2C5C97,吹流しの青,#388B38,吹流しの緑,v|s|d,ツヤケシ,リピテーション配色
仙台青葉まつり,仙台青葉まつり|Sendai Aoba Matsuri|Aoba Festival,青葉の緑、山鉾の金と朱が城下を華やかに巡る,#45A252,青葉の緑,#C1AB2F,山鉾飾りの金,#CF3F28,祭幕の朱,#303584,法被の藍,s|dp|d,ラメ,ナチュラルハーモニー
うわじま牛鬼まつり,うわじま牛鬼まつり|Uwajima Ushi-Oni Festival|Ushioni Festival,赤い牛鬼、黒い角と金の飾りが真夏の町を練る,#CC243C,牛鬼の赤,#111111,角の黒,#AD8D37,飾りの金,#3473D0,海上花火の青,v|s|dp,ラメ,対照色相配色
西条祭り,西条祭り|Saijo Festival|Saijo Matsuri,金糸のだんじり、朱幕と白装束が川面に並ぶ,#D2943C,だんじりの金,#B12B3C,幕の朱,#F6F6F4,装束の白,#84C5D5,川面の青,s|dp|ltg,ラメ,対照トーン配色
津島天王祭,津島天王祭|Tsushima Tenno Festival|Owari Tsushima Tenno Matsuri,無数の提灯の橙、黒い夜と水面に金が連なる,#DF9751,提灯灯の橙,#111111,夜空の黒,#C49E4C,舟飾りの金,#2C4283,水面の藍,s|dp|dk,ラメ,対照トーン配色
犬山祭,犬山祭|Inuyama Festival|Inuyama Matsuri,車山の黒漆、金具と朱幕が城下で高く揺れる,#111111,車山の黒漆,#CB9428,飾金具の金,#E3532B,幕の朱,#F6F6F4,提灯の白,s|dp|dk,ラメ,セパレーション
亀崎潮干祭,亀崎潮干祭|Kamezaki Shiohi Festival|Shiohi Matsuri,山車の黒金、朱い幕と海の青が浜辺で交わる,#111111,山車の黒漆,#D5AA5A,飾りの金,#C12B2D,幕の朱,#3786CD,海の青,s|dp|dk,ラメ,対照色相配色
勝山左義長まつり,勝山左義長まつり|Katsuyama Sagicho Festival|Katsuyama Sagicho Matsuri,赤黄の短冊、白い雪と炎の橙が冬町を染める,#BF261B,短冊の赤,#EFEF68,短冊の黄,#F6F6F4,雪の白,#D7692E,炎の橙,v|b|s,,リピテーション配色
吉田の火祭り,吉田の火祭り|Yoshida Fire Festival|Yoshida no Himatsuri,大松明の橙赤、夜の黒と富士の青が夏を焦がす,#E58C34,大松明の橙,#A4202B,炎の赤,#111111,夜空の黒,#32579B,富士影の青,v|s|dp,,対照色相配色
小倉祇園太鼓,小倉祇園太鼓|Kokura Gion Daiko|Kokura Gion Festival,太鼓の木茶、朱い鉢巻と白法被が城下に響く,#815037,太鼓胴の木茶,#C32F23,鉢巻の朱,#F6F6F4,法被の白,#282C7E,帯の藍,s|d|ltg,,ナチュラルハーモニー
伊万里トンテントン祭り,伊万里トンテントン祭り|Imari Tontenton Festival|Tontenton Matsuri,白い神輿と朱、金具が秋の町で激しくぶつかる,#F6F6F4,神輿布の白,#E64E38,飾りの朱,#BCA636,金具の金,#34458A,担ぎ手の藍,s|dp|ltg,,セパレーション
おはら祭,おはら祭|Ohara Festival|Kagoshima Ohara Matsuri,花笠の赤黄、青い法被が鹿児島の街を埋める,#B01B20,花笠の赤,#EBD58A,花笠の黄,#3756AF,法被の青,#F6F6F4,手拭の白,v|b|s,,リピテーション配色
精霊流し,精霊流し|Shoro Nagashi|Spirit Boat Procession,精霊船の金白、提灯の橙が夜道を長く流れる,#CBA339,精霊船の金,#F6F6F4,船飾りの白,#E8974E,提灯灯の橙,#111111,夜道の黒,s|dp|dk,ラメ,対照トーン配色
マジョラム,マジョラム|marjoram|sweet marjoram,灰緑の小葉、白花と木質の茎が柔らかく香る,#91B46F,葉の灰緑,#F6F6F4,花の白,#6B3F30,茎の木茶,#62673D,乾燥葉の黄緑,sf|d|ltg,ツヤケシ,ナチュラルハーモニー
アニス,アニス|anise|anise seed,灰茶の種、白い花と若葉の緑に甘い香り,#7B5B45,種子の灰茶,#F6F6F4,花の白,#37983C,若葉の緑,#B27639,粉末の黄土,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
キャラウェイ,キャラウェイ|caraway|caraway seed,褐色の種、白花と細葉の緑が清涼に香る,#5B4433,種子の褐色,#F6F6F4,花の白,#398545,葉の緑,#C89443,粉末の黄土,d|ltg|sf,ツヤケシ,ナチュラルハーモニー
フェヌグリーク,フェヌグリーク|fenugreek|fenugreek seed,角ばった黄土の種、葉の緑に甘苦い香り,#937534,種子の黄土,#D9A445,粉末の黄金,#32A947,葉の緑,#623828,乾燥葉の褐色,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
マスタードシード,マスタードシード|mustard seed|mustard seeds,黄いろい種と黒い種、粉末の金色が辛く弾ける,#EAD869,黄種の黄,#111111,黒種の黒,#D5AA59,粉末の金黄,#3A9C42,莢の緑,v|s|dp,ツヤケシ,対照色相配色
ピンクペッパー,ピンクペッパー|pink peppercorn|pink pepper,珊瑚桃の実、白い芯と緑の葉が軽く香る,#D77760,果皮の珊瑚桃,#E0B1C1,果肉の淡桃,#F6F6F4,芯の白,#387B41,葉の緑,b|lt|sf,,類似色相配色
タマリンド,タマリンド|tamarind|tamarind pulp,赤褐色の果肉、薄茶の殻と黒い種が酸甘い,#AE582F,果肉の赤褐色,#D1C1A2,莢殻の薄茶,#111111,種子の黒,#AB8D40,繊維の黄土,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
メープルシロップ,メープルシロップ|maple syrup,透明な琥珀、煮詰めるほど赤褐色へ深まる甘さ,#C17C27,シロップの琥珀,#985135,濃縮部の赤褐色,#ECE348,泡の淡黄,#584331,樹皮の焦茶,d|dk|ltg,,トーン・オン・トーン配色
モラセス,モラセス|molasses|blackstrap molasses,黒褐色の糖蜜、赤琥珀の照りが重く甘い,#604533,糖蜜の黒褐色,#9E601E,照りの赤琥珀,#8E4334,糖蜜縁の赤茶,#E6E46F,泡の淡黄,d|dk|dkg,,トーン・オン・トーン配色
バルサミコ酢,バルサミコ酢|balsamic vinegar|aceto balsamico,黒褐色の酢、赤琥珀の透過光が艶やかに残る,#3A2418,酢の黒褐色,#B27A3A,透過光の赤琥珀,#AC4F39,熟成樽の焦茶,#6E398D,葡萄皮の紫,d|dk|dkg,,コンプレックスハーモニー
麦茶,麦茶|mugicha|barley tea,焙煎麦の焦茶、茶湯の琥珀と泡の淡黄,#513528,焙煎麦の焦茶,#BB7532,茶湯の琥珀,#B98A4D,麦粒の黄土,#ECDC77,泡の淡黄,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
玉露,玉露|gyokuro|gyokuro tea,濃緑の茶葉、澄んだ黄緑の茶湯に旨みが満ちる,#1F4F20,茶葉の濃緑,#66763C,茶湯の黄緑,#37783D,若葉の緑,#E5CD59,湯面の淡黄,b|s|d,,類似色相配色
煎茶,煎茶|sencha|green tea,青緑の茶葉、透明な黄緑の茶湯が爽やか,#3E8B50,茶葉の青緑,#929B44,茶湯の黄緑,#96B081,茎の淡緑,#EDEB5E,湯面の淡黄,b|sf|lt,,類似色相配色
烏龍茶,烏龍茶|oolong tea|oolong,褐色の揉み葉、茶湯の琥珀と赤茶が香り立つ,#583D2B,揉み葉の褐色,#D29927,茶湯の琥珀,#843D30,発酵葉の赤茶,#A5763A,葉芯の黄土,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
プーアル茶,プーアル茶|pu-erh tea|pu'er tea,黒褐色の茶葉、深い赤茶の湯が土の香りを帯びる,#6A3F2C,茶葉の黒褐色,#8E4F34,茶湯の深赤茶,#9C7837,熟成葉の黄土,#A37B30,湯縁の琥珀,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
ルイボス,ルイボス|rooibos|rooibos tea,赤茶の細葉、澄んだ琥珀色の湯が甘く香る,#99493D,乾燥葉の赤茶,#8F5A2C,茶湯の琥珀,#AA8B3A,茎の黄土,#E5CE7D,泡の淡黄,d|dk|ltg,ツヤケシ,トーナル配色
ハイビスカスティー,ハイビスカスティー|hibiscus tea|karkade,深紅の萼、鮮赤の茶湯と紫影が酸味を告げる,#991B25,乾燥萼の深紅,#D92D26,茶湯の鮮赤,#7F3E8F,濃部の赤紫,#F0D97D,花芯の黄,v|s|dp,,同一色相配色
バタフライピー,バタフライピー|butterfly pea tea|Clitoria ternatea tea,群青の花、青紫の茶湯が酸で紫へ変わる,#2856A2,花弁の群青,#65B9C2,茶湯の青,#8349B5,酸性時の紫,#F6F6F4,花芯の白,v|s|lt,,類似色相配色
マテ茶,マテ茶|mate tea|yerba mate,乾いた緑葉、黄緑の湯と木の器が青く香る,#778248,乾燥葉の緑,#9CBF8C,茶湯の黄緑,#2A6036,生葉の濃緑,#6E513C,器の木茶,d|sf|ltg,ツヤケシ,ナチュラルハーモニー
そば茶,そば茶|sobacha|buckwheat tea,炒った蕎麦実の金茶、淡い琥珀の湯が香ばしい,#C08931,蕎麦実の金茶,#563A27,炒り殻の焦茶,#9C692D,茶湯の淡琥珀,#EAE1D8,実の生成り,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
あずき茶,あずき茶|azuki tea|red bean tea,小豆の赤褐色、淡い茶湯と白い割れ目が柔らかい,#A54D3A,小豆皮の赤褐色,#9F712E,茶湯の淡琥珀,#F6F6F4,豆芯の白,#533E2F,煎り豆の焦茶,d|dk|ltg,ツヤケシ,トーナル配色
あごだし,あごだし|ago dashi|flying fish broth,焼き飛魚の金茶、澄んだ琥珀のだしが海を残す,#BB8A33,焼き飛魚の金茶,#2255A0,皮の青灰,#B06E2C,だしの琥珀,#F6F6F4,腹身の白,d|sf|ltg,,ナチュラルハーモニー
焦がしバター,焦がしバター|brown butter|beurre noisette,乳白から琥珀へ、焦げた乳固形分が香ばしく沈む,#EBE7DD,溶け始めの乳白,#AE8125,焦がし色の琥珀,#5E3F2F,乳固形分の焦茶,#E9CF5F,泡の淡黄,d|lt|dk,,トーンのグラデーション
オリーブオイル,オリーブオイル|olive oil|extra virgin olive oil,黄緑の油、黄金の透過光と実の紫が香る,#7C8B3F,油の黄緑,#CD9F2A,透過光の黄金,#3C9437,若い実の緑,#873998,熟果の紫,s|d|lt,,ナチュラルハーモニー
