表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
盛岡さんさ踊り,盛岡さんさ踊り|さんさ踊り|Morioka Sansa,太鼓の朱と藍衣、花笠が夏道を彩る,#D3493A,太鼓胴の朱,#354A65,浴衣の藍,#D18694,花笠の桃,#FFEDE8,鉢巻の白,v|lt,,中差色相配色
祇園祭,祇園祭|京都祇園祭|Gion Matsuri,鉾の金と朱、懸装品の深色が都を巡る,#D4AE4F,鉾飾りの金,#DB523D,提灯の朱,#385475,懸装品の藍,#733843,織物の深紅,dp|dk,ラメ,ドミナントトーン配色
阿波おどり,阿波おどり|Awa Odori,藍浴衣と編笠、朱の差し色が夜を刻む,#3E546F,浴衣の藍,#DCD8C5,編笠の生成り,#BA3228,帯の朱,#193055,夜道の紺,dp|ltg,,ドミナントカラー配色
博多祇園山笠,博多祇園山笠|山笠|Hakata Gion Yamakasa,飾り山の金朱と締込の白が街を駆ける,#BC993A,飾り山の金,#C24331,飾り山の朱,#E6EDEE,締込の白,#25526D,法被の藍,v|dp,ラメ,対照トーン配色
山鹿灯籠まつり,山鹿灯籠まつり|山鹿灯籠|Yamaga Lantern Festival,金灯籠と白浴衣、千の灯りが夜を流れる,#D0A032,金灯籠の金,#E2E1D3,浴衣の白,#163B5F,夜空の紺,#44739E,浴衣柄の藍青,b|dk,ラメ,対照トーン配色
秩父夜祭,秩父夜祭|Chichibu Night Festival,屋台の金彩と提灯、冬夜に花火が開く,#DBAB46,屋台彫刻の金,#CD4F41,提灯の朱,#213A59,冬夜の紺,#B44E84,花火の紅紫,v|dk,ラメ,対照トーン配色
長崎くんち,長崎くんち|Nagasaki Kunchi,異国柄の朱青金、奉納踊が港町を巡る,#B5392F,衣装の朱,#1D719C,龍踊の青,#CEA145,装飾の金,#55875A,龍体の緑,v|dp,ラメ,対照色相配色
沖縄全島エイサー,エイサー|沖縄全島エイサー|Eisa,黒衣に朱帯、太鼓の白が南夜に響く,#13191A,衣装の黒,#C0443E,帯の朱,#E6DFDB,太鼓面の白,#D6AE3C,締太鼓の金,v|dk,,セパレーション
白檀,白檀|サンダルウッド|sandalwood,乾いた木肌と甘い香煙が静かに残る,#D2BDA0,白檀の木肌,#704F40,削り粉の茶,#82848D,香煙の灰,#C58A37,樹脂の琥珀,sf|d,ツヤケシ,ナチュラルハーモニー
沈香,沈香|じんこう|agarwood|oud,黒褐色の樹脂に深い煙と艶が宿る,#714F39,沈香の黒褐色,#35302E,焦げた樹脂の黒,#BD862D,樹脂の琥珀,#849098,香煙の灰,d|dk,ツヤケシ,ドミナントトーン配色
檜,檜|ヒノキ|hinoki,淡い木肌と若葉、澄んだ森の空気,#E6D5BE,檜の木肌,#417347,檜葉の緑,#D6CBAB,鉋屑の生成り,#889091,濡れ石の灰,lt|sf,ツヤケシ,ナチュラルハーモニー
柚子,柚子|ゆず|yuzu,黄皮の明るさと青皮の苦みが弾ける,#E5C940,柚子皮の黄,#4D704B,青柚子の緑,#F2E0C9,果肉の淡黄,#EEEAEE,果汁の白光,b|lt,,類似色相配色
山椒,山椒|さんしょう|sansho,若緑の実と木の芽、舌に青い刺激,#407251,山椒の実の緑,#88B343,木の芽の黄緑,#D8CBA4,粉山椒の淡茶,#2C3234,実の影の黒,s|dp,ツヤケシ,類似色相配色
薄荷,薄荷|ハッカ,冷たい葉緑と白い清涼感が鼻を抜ける,#97C4AD,薄荷葉の緑,#62ADB2,清涼の青緑,#F1F8F9,メントールの白,#5A7A4D,葉脈の深緑,b|lt,,類似色相配色
薔薇,薔薇の香り|rose scent,花弁の紅と淡桃、甘い余韻が重なる,#B0626E,薔薇花弁の紅,#D5839B,淡い花弁の桃,#407E5B,萼の緑,#EADCBF,花芯の淡黄,b|s,,類似色相配色
ジャスミン,ジャスミン|jasmine,白花の甘さに夜葉の緑が寄り添う,#F8EAD7,ジャスミン花の白,#E3E4D0,花芯の淡黄,#3F7E54,葉の緑,#073255,夜庭の紺,lt|dk,,対照トーン配色
ベルガモット,ベルガモット|bergamot,青黄の柑橘皮に紅茶色の苦みを添える,#8FB24C,ベルガモット皮の黄緑,#CDB327,果皮の黄,#C18437,紅茶の琥珀,#4F7556,葉の緑,b|s,,類似色相配色
金木犀,金木犀|キンモクセイ|osmanthus,橙色の小花と深緑、夕風に甘く漂う,#D96425,金木犀の橙,#2E5E48,葉の深緑,#BE9825,花粉の金,#212F4F,夕暮れの紺,v|dk,,補色配色
焙煎コーヒー,焙煎コーヒー|roasted coffee,焦げ茶の豆と琥珀の液面、香ばしい余韻,#6C4330,焙煎豆の焦げ茶,#C89140,コーヒー液の琥珀,#E3CEBC,クレマの淡茶,#19171B,深煎りの黒,d|dk,,ドミナントトーン配色
カカオ,カカオ|cacao|cocoa,赤褐色の実と濃茶、苦味の奥に甘さ,#754C40,カカオ豆の濃茶,#B7674E,カカオ果皮の赤褐色,#D9D1C3,カカオバターの淡黄,#142222,ローストの黒,d|dk,ツヤケシ,トーン・オン・トーン配色
バニラ,バニラ|vanilla,乳白と鞘の黒茶、丸い甘さが広がる,#F1D9C0,バニラクリーム,#CBC0A0,乾いた鞘の淡茶,#774C39,バニラ鞘の黒茶,#FCF8E2,砂糖の白,p|lt,,トーン・オン・トーン配色
黒胡椒,黒胡椒|ブラックペッパー|black pepper,黒い粒と乾いた殻、鋭い辛みが立つ,#1C1715,黒胡椒の黒,#858486,挽いた粒の灰,#694C38,乾いた殻の茶,#DBE0C7,塩粒の白,dk|g,ツヤケシ,トーナル配色
シナモン,シナモン|cinnamon,赤茶の樹皮と粉、甘く温かな香辛料,#B5694A,シナモン樹皮の赤茶,#785241,巻皮の濃茶,#B1823C,粉末の黄土,#F2D8C7,砂糖の淡白,d|sf,ツヤケシ,ナチュラルハーモニー
炭酸,炭酸|ソーダ|sparkling|carbonation,透明な泡と氷、弾ける冷たさを色に,#5EB4BB,炭酸水の青緑,#DEE8E4,泡の白,#B1BBBC,気泡の銀光,#91BE56,ライム皮の黄緑,b|lt,ラメ,対照トーン配色
海塩,海塩|塩味|sea salt|salty,白い結晶と海青、乾いた塩気の印象,#EEE3E4,海塩結晶の白,#3D6F95,海水の青,#8C8E98,岩塩の灰,#469EA5,波の青緑,lt|g,,類似色相配色
燻製,燻製|スモーク|smoky flavor,煤けた木と琥珀、煙の層が味を包む,#4B4E50,燻煙の炭色,#64402F,燻製木の茶,#BC8636,脂の琥珀,#908E91,煙の灰,d|dk,ツヤケシ,ドミナントトーン配色
梅,梅|ume|plum,紅い果肉と青梅、塩の白が酸味を立てる,#B45E74,梅肉の紅,#58814E,青梅の緑,#DDE9DC,塩の白,#734638,紫蘇漬けの深茶,s|dp,,対照色相配色
柚子胡椒,柚子胡椒|yuzu kosho,青柚子と唐辛子、塩の白が鋭く香る,#386E49,青柚子の緑,#93BE4E,青唐辛子の黄緑,#F5E2DD,塩の白,#E4C94A,柚子皮の黄,v|b,,類似色相配色
ラムネ,ラムネ|ramune|soda candy,瓶の青緑と泡の白、夏の甘さが弾ける,#5AA2AB,ラムネ瓶の青緑,#DEDAD1,泡の白,#76A9C4,ビー玉の水色,#CCB334,レモン香の淡黄,b|lt,ラメ,類似色相配色
