表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
トゲチョウチョウウオ,トゲチョウチョウウオ|Threadfin Butterflyfish|Chaetodon auriga,白地に黄と黒、細い背鰭が珊瑚の上で揺れる,#F6F6F4,体地の白,#DDDC64,背部の黄,#111111,眼帯の黒,#D9BA3C,尾鰭の淡黄,b|s|dp,,セパレーション
スミレナガハナダイ,スミレナガハナダイ|Square-spot Anthias|Pseudanthias pleurotaenia,紫桃の体に黄いろい斑、青紫の鰭が深場に光る,#B73C7F,体表の紫桃,#E5E17A,体側の黄斑,#784499,鰭の青紫,#E2A3AB,腹部の淡桃,v|b|s,,類似色相配色
キンギョハナダイ,キンギョハナダイ|Sea Goldie|Pseudanthias squamipinnis,橙桃の群れ、紫の目元と黄いろい尾が揺れる,#D78466,体表の橙桃,#D3692F,背鰭の橙,#814598,目元の紫,#EAD57B,尾鰭の黄,v|b|s,,類似色相配色
アケボノハゼ,アケボノハゼ|Purple Firefish|Nemateleotris decora,白から紫へ移る体、黄いろい顔が曙の空のよう,#F6F6F4,頭部の白,#8839A2,体後半の紫,#E9D465,顔の黄,#302D92,鰭の青紫,b|s|lt,,トーンのグラデーション
オイランハゼ,オイランハゼ,砂茶の体に青い斑、橙の鰭が泥底で華やぐ,#D5C5A4,体地の砂茶,#2E69BD,斑点の青,#D88551,鰭の橙,#111111,瞳の黒,s|d|dp,,ナチュラルハーモニー
ニチリンダテハゼ,ニチリンダテハゼ,黄黒の日輪模様、砂色の体に青い斑が浮かぶ,#E4DC76,背鰭の日輪黄,#111111,日輪の黒,#DAC5A6,体地の砂色,#275C9E,頬の青斑,v|s|d,,セパレーション
ハタタテネジリンボウ,ハタタテネジリンボウ|Black-ray Shrimp Goby|Stonogobiops nematodes,白い体に黒帯、黄いろい顔と青い海が映える,#F6F6F4,体地の白,#111111,横帯の黒,#DFBF59,顔の黄,#3288D6,海水の青,v|s|lt,,セパレーション
ハグロトンボ,ハグロトンボ|Ebony Jewelwing|Calopteryx atrata,黒い翅、金緑の胴が川辺の光を細く返す,#111111,翅の黒,#50A88E,胴の金緑,#40964B,胸部の緑,#91D2DD,水面の青,s|dp|dk,ラメ,コンプレックスハーモニー
ミヤマアカネ,ミヤマアカネ|Sympetrum pedemontanum,赤い胴、褐色の翅帯が秋草の上で静かに揺れる,#B21D2F,腹部の赤,#6E5441,翅帯の褐色,#8A662E,翅元の琥珀,#727E3F,草葉の緑,s|d|dp,,ナチュラルハーモニー
ベニイトトンボ,ベニイトトンボ|Ceriagrion nipponicum,細い紅の胴、透明な翅と緑の水草が涼しい,#A32C3F,腹部の紅,#F6F6F4,翅膜の白,#33802F,水草の緑,#97C6D6,水面の青,v|s|lt,,対照色相配色
キイトトンボ,キイトトンボ|Ceriagrion melanurum,鮮黄の細い胴、黒い節と緑の草間に浮かぶ,#ECEA52,腹部の鮮黄,#111111,節の黒,#3B9E41,水草の緑,#78D0C3,水面の青緑,v|b|dp,,対照色相配色
アオイトトンボ,アオイトトンボ|Lestes sponsa,金緑の胴、青い尾端と透明な翅が水辺に光る,#3B9E5B,胸部の金緑,#3994D1,尾端の青,#F6F6F4,翅膜の白,#788B54,水草の黄緑,s|b|lt,ラメ,類似色相配色
ルリモンハナバチ,ルリモンハナバチ,黒い体を瑠璃の帯が横切り、黄花にとまる,#111111,体毛の黒,#3966B3,腹帯の瑠璃,#9BC9D5,翅の淡青,#E4E65D,花粉の黄,v|s|dp,,セパレーション
オオセイボウ,オオセイボウ,青緑から紫へ変わる金属光、黒い脚が締める,#3F9986,体表の青緑,#873CA7,腹部の紫,#4489C3,胸部の青,#111111,脚の黒,s|dp|dk,ラメ,コンプレックスハーモニー
津軽張子,津軽張子|Tsugaru Hariko|Tsugaru papier-mache,白い張子に朱と藍、黒い筆線が津軽を彩る,#F6F6F4,張子地の白,#D72B24,彩色の朱,#2B328A,彩色の藍,#111111,筆線の黒,s|dp|ltg,ツヤケシ,セパレーション
松川だるま,松川だるま|Matsukawa Daruma,青い胴、赤い顔料と金の文字が仙台に映える,#294EA5,胴の青,#BC231E,顔料の赤,#CB9749,文字の金,#F6F6F4,目の白,v|s|dp,ツヤケシ,対照色相配色
御殿まり,御殿まり|Goten Mari|Shonai Goten Mari,紅黄緑の糸が幾何学に重なり、白地に弾む,#C36576,刺し糸の紅,#ECE979,刺し糸の黄,#377E33,刺し糸の緑,#F6F6F4,地糸の白,v|b|s,ツヤケシ,リピテーション配色
いづめこ人形,いづめこ人形|Izumeko Ningyo|Izume-ko Doll,藁の黄土、赤い衣と白い顔が雪国の冬を包む,#A37544,藁籠の黄土,#D91D32,衣の赤,#F6F6F4,顔の白,#111111,髪の黒,s|d|dk,ツヤケシ,ナチュラルハーモニー
会津天神,会津天神|Aizu Tenjin|Aizu Tenjin Doll,白い顔、朱の衣と黒髪に金の冠が映える,#F6F6F4,顔の白,#DF2920,衣の朱,#111111,髪の黒,#D7B057,冠の金,s|dp|ltg,ツヤケシ,セパレーション
久ノ浜張子,久ノ浜張子|Hisanohama Hariko|Hisanohama papier-mache,白い張子、朱と黄の彩色に黒い目が素朴,#F6F6F4,張子地の白,#BC292F,彩色の朱,#EFE17F,彩色の黄,#111111,目の黒,v|s|lt,ツヤケシ,セパレーション
砂原張子,砂原張子|Sunahara Hariko|Sunahara papier-mache,白地に朱青黄、越谷の張子が明るく弾む,#F6F6F4,張子地の白,#A02436,彩色の朱,#3352AC,彩色の青,#EAE98D,彩色の黄,v|s|lt,ツヤケシ,中差色相配色
豊岡張子,豊岡張子|Toyooka Hariko|Toyooka papier-mache,白い張子に赤と藍、黄いろい飾りが映える,#F6F6F4,張子地の白,#D4202C,彩色の赤,#344172,彩色の藍,#DFDE59,飾りの黄,v|s|lt,ツヤケシ,対照色相配色
松江姉様,松江姉様|Matsue Anesama|Matsue paper doll,白い顔、紅い着物と黒髪に金紙がきらめく,#F6F6F4,顔の白,#BD5A81,着物の紅,#111111,髪の黒,#C0903A,帯紙の金,s|dp|ltg,ツヤケシ,セパレーション
柳井金魚ちょうちん,柳井金魚ちょうちん|Yanai Goldfish Lantern|Yanai Kingyo Chochin,赤白の金魚、黒い目と灯りの黄が町並みに揺れる,#B82D40,胴の赤,#F6F6F4,腹の白,#111111,目の黒,#E8E069,灯りの黄,v|s|lt,,セパレーション
うずら車,うずら車|Uzura-guruma|Quail Cart Toy,木地の黄土、赤黒の筆模様が小さな車を走らせる,#C1913F,木地の黄土,#C72821,筆模様の赤,#111111,筆模様の黒,#734438,車輪の木茶,s|d|dk,ツヤケシ,ナチュラルハーモニー
琉球糸まり,琉球糸まり|Ryukyu Temari|Okinawan Thread Ball,紅黄青緑の糸が南島の手まりを鮮やかに結ぶ,#D41D1E,刺し糸の紅,#EAE17F,刺し糸の黄,#2845AE,刺し糸の青,#3A813D,刺し糸の緑,v|b|s,ツヤケシ,リピテーション配色
土崎神明社祭,土崎神明社祭|Tsuchizaki Shinmeisha Festival|Tsuchizaki Minato Festival,黒い曳山、金具と朱幕が港町の夜を進む,#111111,曳山の黒,#C09736,飾金具の金,#E53A29,幕の朱,#F6F6F4,提灯の白,s|dp|dk,ラメ,セパレーション
花輪祭,花輪祭|Hanawa Festival|Hanawa Matsuri,金の屋台、朱い幕と白い提灯が夜道を連なる,#BDA92B,屋台飾りの金,#CD2929,幕の朱,#F6F6F4,提灯の白,#2A3671,夜道の藍,s|dp|dk,ラメ,対照トーン配色
新庄まつり,新庄まつり|Shinjo Festival|Shinjo Matsuri,極彩色の山車、金と朱が城下の夜にせり上がる,#C39C4C,山車飾りの金,#BE1932,山車飾りの朱,#3A5EC6,装飾の青,#F6F6F4,提灯の白,v|s|dp,ラメ,リピテーション配色
日立風流物,日立風流物|Hitachi Furyumono,巨大山車の金朱、青い衣装と白い人形が舞う,#D8A947,山車飾りの金,#C1491D,幕の朱,#2883BC,衣装の青,#F6F6F4,人形の白,v|s|dp,ラメ,対照色相配色
烏山山あげ祭,烏山山あげ祭|Karasuyama Yamaage Festival|Yamaage Matsuri,山水幕の青緑、朱い舞台と白い紙山が立ち上がる,#327CA9,山水幕の青,#2F9249,山水幕の緑,#AA1E33,舞台幕の朱,#F6F6F4,紙山の白,v|s|lt,,中差色相配色
鹿沼秋まつり,鹿沼秋まつり|Kanuma Autumn Festival|Kanuma Imamiya Shrine Festival,彫刻屋台の木茶、金具と朱幕が秋空に映える,#543829,屋台彫刻の木茶,#CAB343,飾金具の金,#DB432B,幕の朱,#2B2B5E,法被の藍,s|d|dp,,ナチュラルハーモニー
高岡御車山祭,高岡御車山祭|Takaoka Mikurumayama Festival|Mikurumayama Matsuri,黒漆と金工、朱い幕が城下に工芸の光を運ぶ,#111111,御車山の黒漆,#C6AE36,金工飾りの金,#D9231D,幕の朱,#50352C,車輪の木茶,s|dp|dk,ラメ,セパレーション
魚津たてもん祭り,魚津たてもん祭り|Uozu Tatemon Festival|Tatemon Festival,提灯の白赤、帆柱の木茶と夜空の藍が高く揺れる,#F6F6F4,提灯の白,#AC1726,提灯文字の赤,#4E342C,帆柱の木茶,#354C7F,夜空の藍,s|d|dk,,リピテーション配色
城端曳山祭,城端曳山祭|Johana Hikiyama Festival|Johana Festival,黒漆の曳山、金と朱、庵唄の夜に白提灯が浮かぶ,#111111,曳山の黒漆,#C08228,飾りの金,#E0471E,幕の朱,#F6F6F4,提灯の白,s|dp|dk,ラメ,セパレーション
青柏祭,青柏祭|Seihakusai Festival|Seihaku Festival,巨大な曳山の木茶、朱い幕と白い法被が街を行く,#614937,曳山の木茶,#D22730,幕の朱,#F6F6F4,法被の白,#D3A74F,飾りの金,s|d|ltg,,ナチュラルハーモニー
古川祭,古川祭|Furukawa Festival|Furukawa Matsuri,起し太鼓の木茶、白いさらしと朱提灯が夜を打つ,#774A36,太鼓胴の木茶,#F6F6F4,さらしの白,#AA372B,提灯の朱,#D8C253,屋台飾りの金,s|d|ltg,,対照トーン配色
日田祇園祭,日田祇園祭|Hita Gion Festival|Hita Gion Matsuri,豪華な山鉾、金と朱が豆田の夜に光を重ねる,#C1993B,山鉾飾りの金,#DE3E1F,幕の朱,#328FC6,飾りの青,#F6F6F4,提灯の白,v|s|dp,ラメ,リピテーション配色
クラリセージ,クラリセージ|clary sage|Salvia sclarea,灰緑の葉、淡紫の花と黄いろい精油が柔らかい,#9CB382,葉の緑,#C4AED4,花の淡紫,#EBE370,精油の淡黄,#D7C5AB,茎の薄茶,sf|lt|d,ツヤケシ,ナチュラルハーモニー
ヒソップ,ヒソップ|hyssop|Hyssopus officinalis,濃緑の葉、青紫の花と木質の茎が清涼に香る,#21582F,葉の濃緑,#673A89,花の青紫,#3E89BD,花穂の青,#5B3C26,茎の木茶,s|d|dp,ツヤケシ,類似色相配色
レモンバーベナ,レモンバーベナ|lemon verbena|Aloysia citrodora,明緑の葉、白い花と淡黄の香りが涼しく立つ,#31AC51,葉の明緑,#F6F6F4,花の白,#94BE87,若葉の黄緑,#EDE173,精油の淡黄,b|lt|sf,,ナチュラルハーモニー
レモンマートル,レモンマートル|lemon myrtle|Backhousia citriodora,深緑の葉、白花と淡黄の香りに檸檬が走る,#1E4E26,葉の深緑,#F6F6F4,花の白,#2E8A4C,若葉の緑,#ECC14A,精油の淡黄,b|d|lt,,ナチュラルハーモニー
月桃,月桃|getto|shell ginger|Alpinia zerumbet,深緑の葉、白桃の花と赤い種が南島に香る,#366839,葉の深緑,#F6F6F4,花弁の白,#DFAFB8,花芯の桃,#DB2524,種の赤,b|s|d,,ナチュラルハーモニー
甘草,甘草|licorice root|liquorice root,根の黄土、切口の淡黄と焦茶が甘く残る,#998442,根皮の黄土,#E2E256,切口の淡黄,#6D493A,乾燥根の焦茶,#D2BBA7,粉末の薄茶,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
アサフェティダ,アサフェティダ|asafoetida|hing,黄褐色の樹脂、粉末の淡黄が強い香りを放つ,#C8A23E,樹脂の黄褐色,#E7E35F,粉末の淡黄,#7C4E38,熟成樹脂の焦茶,#9A4828,樹皮の赤茶,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
ガランガル,ガランガル|galangal|galanga,薄茶の根茎、切口の白黄と若芽の緑が辛い,#CEB496,根皮の薄茶,#F6F6F4,切口の白,#E9E664,切口の淡黄,#408F5B,若芽の緑,lt|sf|d,ツヤケシ,ナチュラルハーモニー
カレーリーフ,カレーリーフ|curry leaf|Murraya koenigii,艶のある深緑葉、白花と黒い実が香ばしく香る,#23522A,葉の深緑,#F6F6F4,花の白,#111111,果実の黒,#31A758,若葉の緑,s|d|dk,,ナチュラルハーモニー
こぶみかん,こぶみかん|makrut lime|kaffir lime,濃緑の果皮、白い果肉と黄緑の葉が鋭く香る,#2E7042,果皮の濃緑,#F6F6F4,果肉の白,#788640,葉の黄緑,#F1E781,果汁の淡黄,b|s|lt,,類似色相配色
ココナッツ,ココナッツ|coconut,白い果肉、焦茶の殻と淡い乳色が南国に甘い,#F6F6F4,果肉の白,#6B513E,殻の焦茶,#D8D4C1,ココナッツ乳の生成り,#2D8936,若実の緑,lt|d|sf,,ナチュラルハーモニー
パッションフルーツ,パッションフルーツ|passion fruit,紫の果皮、黄金の果肉と黒い種が酸甘く光る,#692D91,果皮の紫,#D99F32,果肉の黄金,#111111,種子の黒,#F6F6F4,花の白,v|s|dp,,対照色相配色
ライチ,ライチ|lychee|litchi,赤桃の果皮、乳白の果肉と焦茶の種が瑞々しい,#CF5B83,果皮の赤桃,#E2DFD2,果肉の乳白,#895E3B,種子の焦茶,#2E8634,若葉の緑,b|s|d,,ナチュラルハーモニー
マンゴー,マンゴー|mango,黄橙の果肉、赤緑の果皮が濃い甘さを告げる,#E18756,果肉の黄橙,#A91822,果皮の赤,#2B7E2A,果皮の緑,#CBB29A,種皮の薄茶,v|b|s,,中差色相配色
ザクロ,ザクロ|pomegranate,深紅の果皮、透明な赤い実と白い膜が宝石のよう,#7F1F2A,果皮の深紅,#9B2634,果粒の赤,#F6F6F4,内膜の白,#347A3D,葉の緑,v|s|dp,,対照色相配色
紅茶,紅茶|black tea|tea,黒茶の茶葉、赤琥珀の湯が温かく透ける,#5D3527,茶葉の濃茶,#916F2A,茶湯の赤琥珀,#A5482E,湯縁の赤茶,#E9D97A,泡の淡黄,d|dk|dkg,,トーン・オン・トーン配色
アールグレイ,アールグレイ|Earl Grey tea|Earl Grey,赤琥珀の紅茶にベルガモットの黄緑が香る,#905E2E,茶湯の赤琥珀,#734935,茶葉の濃茶,#6E8541,ベルガモット果皮の黄緑,#F6F6F4,花弁の白,d|s|ltg,,ナチュラルハーモニー
ダージリン,ダージリン|Darjeeling tea|Darjeeling,明るい琥珀の茶湯、褐色葉と若芽の緑が繊細,#9F7725,茶湯の琥珀,#7A5A49,茶葉の褐色,#3EAE63,若芽の緑,#E9D760,湯縁の淡黄,d|sf|lt,,ナチュラルハーモニー
アッサム,アッサム|Assam tea|Assam,濃い赤茶の湯、黒茶の葉と黄金の縁が力強い,#7B432B,茶湯の赤茶,#67473B,茶葉の濃茶,#D9A04A,湯縁の黄金,#F6F6F4,ミルクの白,d|dk|ltg,,対照トーン配色
ジャスミン茶,ジャスミン茶|jasmine tea,淡黄の茶湯、白い花と緑の茶葉が清らかに香る,#DABF61,茶湯の淡黄,#F6F6F4,花の白,#318934,茶葉の緑,#91B777,若芽の黄緑,b|lt|sf,,ナチュラルハーモニー
黒にんにく,黒にんにく|black garlic,熟成した黒い片、琥珀の照りと薄茶の皮が甘い,#111111,熟成片の黒,#8D572C,照りの琥珀,#CCB995,薄皮の薄茶,#805031,切口の焦茶,d|dk|dkg,,トーン・オン・トーン配色
魚醤,魚醤|fish sauce,濃い琥珀の液、赤茶の透過光と塩の白が残る,#966531,液面の濃琥珀,#924832,透過光の赤茶,#63422E,熟成樽の焦茶,#F6F6F4,塩晶の白,d|dk|ltg,,トーン・オン・トーン配色
ポン酢,ポン酢|ponzu|ponzu sauce,琥珀のたれ、柑橘の黄緑と醤油の赤茶が重なる,#BF7530,たれの琥珀,#7A854D,柑橘果皮の黄緑,#95593F,醤油の赤茶,#E3CA79,果汁の淡黄,d|s|lt,,ナチュラルハーモニー
トリュフ,トリュフ|truffle|black truffle,黒い外皮、切口の焦茶と生成りの網目が土に香る,#111111,外皮の黒,#72402D,切口の焦茶,#E2DFD1,網目の生成り,#296525,苔の緑,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
