表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
イチゴヤドクガエル,イチゴヤドクガエル|strawberry poison frog,苺色の体、脚の青黒が熱帯の葉上で際立つ,#CB1F21,体表の苺赤,#242F4F,脚の青黒,#111111,瞳の黒,#449D61,葉の緑,v|s|dp,,対照色相配色
キオビヤドクガエル,キオビヤドクガエル|yellow-banded poison dart frog,黒い体に鮮黄の帯、濡れた森で警告色が光る,#111111,体表の黒,#EDED83,帯紋の鮮黄,#4A6B7A,腹の青灰,#295838,苔の緑,v|dp|dk,,セパレーション
コバルトヤドクガエル,コバルトヤドクガエル|Dyeing poison dart frog cobalt morph,鮮青の脚と黒い斑、黄いろい背が強く対立する,#2E5AC3,脚の鮮青,#111111,斑紋の黒,#DFCA83,背の黄,#75C4BF,腹の淡青,v|s|dp,,補色配色
キンイロアデガエル,キンイロアデガエル|golden mantella,橙金の体、黒い瞳が湿った緑に小さく燃える,#C27132,体表の橙金,#EACC56,腹の淡黄,#111111,瞳の黒,#48A04E,湿地葉の緑,v|b|s,,ナチュラルハーモニー
ニシキヤッコ,ニシキヤッコ|regal angelfish,黄橙の体に青白の縞、濃紺の縁が王冠のよう,#E98B4A,体側の黄橙,#2D5A9A,横縞の青,#F6F6F4,横縞の白,#273671,鰭縁の濃紺,v|s|dp,,リピテーション配色
キイロハギ,キイロハギ|yellow tang,全身の鮮黄、白い尾棘が青い海に浮かぶ,#E1D16A,体表の鮮黄,#F6F6F4,尾棘の白,#111111,眼の黒,#3784B5,海水の青,v|b|dp,,セパレーション
三次人形,三次人形|Miyoshi doll|Miyoshi ningyo,艶のある胡粉肌、朱と藍が節句の座敷に映える,#F6F6F4,胡粉の白,#DB5029,衣の朱,#2F326D,衣の藍,#111111,髪の黒,s|dp|ltg,,セパレーション
津屋崎人形,津屋崎人形|Tsuyazaki doll|Tsuyazaki ningyo,白い土肌に朱青黄、鮮やかな絵付けが残る,#F6F6F4,胡粉の白,#B02917,彩色の朱,#3783D5,彩色の青,#DFC57E,彩色の黄,v|s|lt,ツヤケシ,中差色相配色
のごみ人形,のごみ人形|Nogomi doll|Nogomi ningyo,白い土鈴に赤黄緑、丸い彩色が明るく弾む,#F6F6F4,胡粉の白,#C32618,彩色の赤,#DBCC53,彩色の黄,#29873B,彩色の緑,v|s|lt,ツヤケシ,中差色相配色
木葉猿,木葉猿|Konoha-zaru|Konoha monkey,素焼きの赤土、白い顔と黒い目が山里に残る,#8C5337,素焼きの赤土,#F6F6F4,顔の白,#111111,目の黒,#BA9244,土肌の黄土,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
小幡人形,小幡人形|Obata doll|Obata ningyo,胡粉の白に朱と群青、近江の土人形が華やぐ,#F6F6F4,胡粉の白,#D0242D,衣の朱,#278DCD,衣の群青,#E0C861,飾りの黄,v|s|lt,ツヤケシ,中差色相配色
富山土人形,富山土人形|Toyama clay doll|Toyama tsuchi-ningyo,白い土肌、朱と藍の衣に黄の飾りが映える,#F6F6F4,胡粉の白,#D05529,衣の朱,#35377C,衣の藍,#EBE888,飾りの黄,s|dp|ltg,ツヤケシ,対照色相配色
稲畑人形,稲畑人形|Inabata doll|Inabata ningyo,胡粉の顔、赤青黄の衣が丹波の土に残る,#F6F6F4,顔の胡粉白,#C4324A,衣の赤,#2682BD,衣の青,#E4CA56,衣の黄,v|s|lt,ツヤケシ,中差色相配色
大和出雲人形,大和出雲人形|Yamato Izumo doll,土色の肌に白と朱、緑の衣が古都を映す,#8A5436,土肌の赤茶,#F6F6F4,胡粉の白,#B12530,衣の朱,#399D37,衣の緑,s|d|ltg,ツヤケシ,ナチュラルハーモニー
津山土人形,津山土人形|Tsuyama clay doll|Tsuyama tsuchi-ningyo,白い顔に朱藍黄、城下町の素朴な彩色,#F6F6F4,顔の白,#CB4A24,衣の朱,#324478,衣の藍,#DEC87A,飾りの黄,s|dp|ltg,ツヤケシ,対照色相配色
酒田土人形,酒田土人形|Sakata clay doll,胡粉の白と紅、青い衣が港町の土に残る,#F6F6F4,胡粉の白,#C36281,頬の紅,#344C9D,衣の青,#111111,髪の黒,s|d|ltg,ツヤケシ,セパレーション
鶴岡人形,鶴岡人形|Tsuruoka doll|Tsuruoka ningyo,白い土肌、朱と緑の衣に黄いろい飾り,#F6F6F4,胡粉の白,#C91E3C,衣の朱,#39944A,衣の緑,#D9C452,飾りの黄,v|s|lt,ツヤケシ,中差色相配色
葛畑人形,葛畑人形|Kazahata doll|Kazahata ningyo,土の生成りに朱と藍、素朴な筆跡が残る,#DEDAC6,土肌の生成り,#B94124,彩色の朱,#292B73,彩色の藍,#111111,髪の黒,s|d|ltg,ツヤケシ,セパレーション
大津祭,大津祭|Otsu Festival|Otsu Matsuri,黒漆の曳山、金具と朱幕が湖都の町を巡る,#111111,曳山の黒漆,#C9B333,飾金具の金,#E15A33,幕の朱,#F6F6F4,提灯の白,s|dp|dk,ラメ,セパレーション
近江八幡左義長まつり,近江八幡左義長まつり|Omihachiman Sagicho Fire Festival|Sagicho Matsuri,赤紙の飾りと藁、炎の橙が旧城下を染める,#A22D27,飾り紙の赤,#A57131,藁の黄土,#D28121,炎の橙,#888888,灰の灰色,v|s|d,,ナチュラルハーモニー
灘のけんか祭り,灘のけんか祭り|Nada Fighting Festival|Nada Kenka Matsuri,白木の屋台と金具、朱幕が秋空の下でぶつかる,#D7CEB9,屋台の白木,#C5B035,飾金具の金,#DA422D,幕の朱,#F6F6F4,担ぎ手の白,s|d|ltg,,対照トーン配色
博多どんたく,博多どんたく|Hakata Dontaku|Hakata Dontaku Port Festival,花笠の赤黄、青い法被が春の博多を埋める,#AF1C20,花笠の赤,#E3CE81,花笠の黄,#21549E,法被の青,#F6F6F4,手拭の白,v|b|s,,リピテーション配色
長崎ランタンフェスティバル,長崎ランタンフェスティバル|Nagasaki Lantern Festival,赤い灯籠と金の光、夜空の黒に龍が浮かぶ,#C81F3C,灯籠の赤,#D8BC4E,灯火の金,#111111,夜空の黒,#35794A,龍飾りの緑,v|s|dp,ラメ,対照色相配色
札幌雪まつり,札幌雪まつり|Sapporo Snow Festival,雪像の白、氷の青と夜の光が大通に連なる,#F6F6F4,雪像の白,#95C5DC,氷像の淡青,#1F3047,夜空の濃紺,#DAB756,照明の黄,lt|s|dp,,対照トーン配色
角館のお祭り,角館のお祭り|Kakunodate Festival|Kakunodate Matsuri,黒い曳山、金具と朱幕が武家屋敷を進む,#111111,曳山の黒,#DCC14D,飾金具の金,#E06640,幕の朱,#F6F6F4,提灯の白,s|dp|dk,ラメ,セパレーション
春日若宮おん祭,春日若宮おん祭|Kasuga Wakamiya Onmatsuri|Onmatsuri,朱の社、白装束と金の飾りが冬の奈良を進む,#E15E32,社殿の朱,#F6F6F4,装束の白,#D09C57,装束の金,#111111,馬具の黒,s|dp|ltg,,セパレーション
那智の扇祭り,那智の扇祭り|Nachi Ogi Matsuri|Nachi Fire Festival,大松明の橙赤、白装束と滝の青が夏を染める,#D8753B,大松明の橙,#B72E3B,炎の赤,#F6F6F4,装束の白,#226DA8,滝水の青,v|s|dp,,対照色相配色
住吉大社御田植神事,住吉大社御田植神事|Sumiyoshi Taisha Otaue Shinji|Otaue Rice Planting Festival,苗の緑、白装束と朱が水田の面に映る,#3CB140,早苗の緑,#F6F6F4,装束の白,#C32019,装束の朱,#9FD4DC,水田の青,b|s|lt,,ナチュラルハーモニー
北海へそ祭り,北海へそ祭り|Hokkai Heso Matsuri|Belly Button Festival,腹絵の赤青黄、白い笠が富良野の夏を踊る,#A13427,腹絵の赤,#3274B0,腹絵の青,#E5D768,腹絵の黄,#F6F6F4,笠の白,v|b|s,,リピテーション配色
男鹿のナマハゲ,男鹿のナマハゲ|Oga Namahage|Namahage,赤青の鬼面、藁蓑と雪の白が大晦日に迫る,#DD291E,鬼面の赤,#3A7FC0,鬼面の青,#C19149,藁蓑の黄土,#F6F6F4,雪の白,v|s|d,ツヤケシ,対照色相配色
パチョリ,パチョリ|patchouli,濃緑の葉、乾燥すると焦茶へ沈む土の香り,#225825,生葉の濃緑,#5C4133,乾燥葉の焦茶,#A15744,茎の赤茶,#B37429,精油の琥珀,d|dk|dkg,ツヤケシ,トーナル配色
ベチバー,ベチバー|vetiver,乾いた根の黄褐色、土と煙を思わせる深い香り,#C28D4C,乾燥根の黄褐色,#553A24,根の焦茶,#773E2F,土の赤茶,#AB6F22,精油の琥珀,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
フランキンセンス,フランキンセンス|frankincense|olibanum,乳白の樹脂粒、淡黄から琥珀へ透ける香煙,#E2DECD,樹脂粒の乳白,#DCDB6F,樹脂の淡黄,#CA7729,樹脂の琥珀,#888888,香煙の灰,lt|sf|d,,トーンのグラデーション
ミルラ,ミルラ|myrrh,赤褐色の樹脂、黒茶の影と琥珀の透けが深い,#7A4532,樹脂の赤褐色,#5B4132,濃い樹脂の焦茶,#A2722F,透過光の琥珀,#AA8A36,樹皮の黄土,d|dk|dkg,,トーン・オン・トーン配色
ネロリ,ネロリ|neroli|orange blossom,白い花弁、橙花の淡黄と葉の緑が清らか,#F6F6F4,花弁の白,#E3CD69,花芯の淡黄,#278333,葉の緑,#D7733B,果皮の橙,b|lt|sf,,ナチュラルハーモニー
イランイラン,イランイラン|ylang-ylang|ylang ylang,黄緑の細花、濃緑の葉と淡黄の精油が甘い,#63673E,花弁の黄緑,#305C2F,葉の濃緑,#EFDB7A,花芯の黄,#AF7F37,精油の淡黄,b|sf|d,,類似色相配色
ゼラニウム,ゼラニウム|geranium scent|rose geranium,緑の葉、桃色の花と赤い茎が青く香る,#2C823A,葉の緑,#D68292,花弁の桃,#C45681,茎の赤,#96B37C,葉裏の灰緑,b|s|sf,,ナチュラルハーモニー
ティーツリー,ティーツリー|tea tree|tea tree oil,細い緑葉、白い花と淡黄の精油が鋭く香る,#3B984F,葉の緑,#F6F6F4,花の白,#E1E462,精油の淡黄,#D7CAB1,枝の薄茶,b|sf|lt,,ナチュラルハーモニー
ユーカリ,ユーカリ|eucalyptus scent|eucalyptus leaf,銀青の葉、白い粉と木肌の茶が涼しく香る,#6EAECB,葉の銀青,#F6F6F4,葉粉の白,#5D4431,枝の木茶,#30767F,若葉の青緑,sf|ltg|d,ツヤケシ,類似色相配色
シダーウッド,シダーウッド|cedarwood|cedar wood scent,赤茶の木肌、黄土の木口と深緑が乾いて香る,#8D4D2B,木肌の赤茶,#AB9048,木口の黄土,#67412C,樹皮の焦茶,#305935,針葉の深緑,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
トンカビーンズ,トンカビーンズ|tonka bean|tonka beans,黒褐色の豆、割れ目の薄茶と粉の黄土が甘い,#5E3F32,豆皮の黒褐色,#D4BC9E,割口の薄茶,#A88C4B,粉末の黄土,#BA5038,熟成部の赤茶,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
カモミール,カモミール|chamomile,白い花弁と黄芯、葉の緑が林檎のように香る,#F6F6F4,花弁の白,#EDE278,花芯の黄,#4D9F47,葉の緑,#D6BB30,乾燥花の淡黄,b|lt|sf,,ナチュラルハーモニー
パロサント,パロサント|palo santo,淡黄の木肌、焦茶の樹皮と煙の灰が甘く立つ,#D0C09A,木部の淡黄,#604C3A,樹皮の焦茶,#9E7C2E,樹脂の琥珀,#888888,煙の灰,d|ltg|dk,ツヤケシ,トーナル配色
花椒,花椒|Sichuan pepper|hua jiao,赤褐色の果皮、黒い種と黄土の粉が舌を痺らす,#A25D39,果皮の赤褐色,#111111,種子の黒,#917238,粉末の黄土,#388038,枝葉の緑,s|d|dk,ツヤケシ,ナチュラルハーモニー
七味唐辛子,七味唐辛子|shichimi|shichimi togarashi,赤唐辛子、黒胡麻、青海苔と陳皮が混じり合う,#C51B22,唐辛子の赤,#111111,黒胡麻の黒,#2E6430,青海苔の緑,#DA891A,陳皮の橙,v|s|dp,ツヤケシ,リピテーション配色
五香粉,五香粉|five-spice powder|Chinese five spice,八角の焦茶、桂皮の赤茶と香辛料の黄土,#73563A,八角の焦茶,#955240,桂皮の赤茶,#A28847,粉末の黄土,#D63020,花椒の赤褐色,d|dk|dkg,ツヤケシ,トーン・オン・トーン配色
塩麹,塩麹|shio koji|salted rice malt,米麹の乳白、粒の生成りと淡黄が柔らかい,#DACDBB,塩麹の乳白,#F6F6F4,米粒の白,#C8AE95,麹粒の生成り,#D8BF4F,熟成部の淡黄,p|lt|sf,,カマイユ配色
麦味噌,麦味噌|mugi miso|barley miso,麦麹の黄土、味噌の赤茶と粒の生成り,#874536,味噌の赤茶,#BD9F3E,麦麹の黄土,#D8CDC2,麦粒の生成り,#AA7937,照りの琥珀,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
煮干しだし,煮干しだし|niboshi dashi|dried sardine broth,銀灰の煮干し、澄んだ淡琥珀のだしが海を残す,#C4C4C4,煮干しの銀灰,#6C8394,背の青灰,#A26C30,だしの淡琥珀,#F6F6F4,腹の白,sf|d|ltg,,ナチュラルハーモニー
椎茸だし,椎茸だし|shiitake dashi|dried shiitake broth,乾椎茸の焦茶、だしの琥珀と裏面の生成り,#795742,傘の焦茶,#C68A39,だしの琥珀,#EBE4DC,ひだの生成り,#D1B194,軸の薄茶,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
すだち,すだち|sudachi,濃緑の果皮、淡黄緑の果肉と白い筋が鋭い,#2B7339,果皮の濃緑,#5E713B,果肉の黄緑,#DFC983,果汁の淡黄,#F6F6F4,わたの白,b|s|sf,,類似色相配色
かぼす,かぼす|kabosu,青緑の果皮、淡黄の果汁と白いわたが爽快,#459F41,果皮の青緑,#E7B943,果汁の淡黄,#F6F6F4,わたの白,#C1AF8C,種の薄茶,b|sf|lt,,ナチュラルハーモニー
へべす,へべす|hebesu|hebesu citrus,黄緑の果皮、透明な果汁と白い筋が軽やか,#58623D,果皮の黄緑,#DAC460,果汁の淡黄,#F6F6F4,わたの白,#277E36,葉の緑,b|sf|lt,,類似色相配色
梅干し,梅干し|umeboshi|pickled plum,赤紫蘇に染まる梅、塩の白と果肉の淡黄,#BB3B6E,梅皮の赤,#8A4EAE,赤紫蘇の紫,#F6F6F4,塩の白,#D3CE51,果肉の淡黄,s|d|lt,,コンプレックスハーモニー
