表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
ハナイカ,ハナイカ|Flamboyant Cuttlefish,体表紫と斑紋黄。珊瑚礁の砂底に色が浮かぶ,#793683,体表の紫,#F1F46B,斑紋の黄,#F6F6F4,縁取りの白,#C22618,腕部の赤,v|s|dp,,ナチュラルハーモニー
コブシメ,コブシメ|Broadclub Cuttlefish,体表赤茶と斑点白。礁池の岩陰に色が浮かぶ,#9F5324,体表の赤茶,#F6F6F4,斑点の白,#40A3D6,眼縁の青,#EDD22D,腕部の黄,v|s|dp,,対照色相配色
オウムガイ,オウムガイ|Chambered Nautilus,殻白と殻縞赤茶。深い礁斜面に色が浮かぶ,#F6F6F4,殻の白,#CE3E31,殻縞の赤茶,#111111,殻口の黒,#25237D,海水の藍,s|d|ltg,,セパレーション
デバスズメダイ,デバスズメダイ|Blue-green Chromis,体表青緑と背側青。珊瑚の上に色が浮かぶ,#7CDFD2,体表の青緑,#2D80AA,背側の青,#93CD88,腹部の淡緑,#E0938B,珊瑚の桃,s|d|ltg,,ナチュラルハーモニー
シリキルリスズメダイ,シリキルリスズメダイ|Yellowtail Damselfish,体表瑠璃と尾鰭黄。浅い礁池に色が浮かぶ,#2686DE,体表の瑠璃,#E0DB7B,尾鰭の黄,#111111,眼の黒,#F6F6F4,砂底の白,v|s|dp,,セパレーション
ミスジリュウキュウスズメダイ,ミスジリュウキュウスズメダイ|Three Stripe Damselfish,体地白と三本帯黒。枝珊瑚の群れに色が浮かぶ,#F6F6F4,体地の白,#111111,三本帯の黒,#3550BC,海水の青,#866E37,珊瑚の黄土,s|d|ltg,,セパレーション
ヨスジリュウキュウスズメダイ,ヨスジリュウキュウスズメダイ|Four Stripe Damselfish,体地白と四本帯黒。礁池の群れに色が浮かぶ,#F6F6F4,体地の白,#111111,四本帯の黒,#5BB1CA,海水の青,#E77D6D,珊瑚の桃,s|d|ltg,,セパレーション
フタスジリュウキュウスズメダイ,フタスジリュウキュウスズメダイ|Reticulated Dascyllus,体地白と二本帯黒。珊瑚枝の陰に色が浮かぶ,#F6F6F4,体地の白,#111111,二本帯の黒,#E9E04F,尾鰭の淡黄,#1E1C5C,海水の藍,s|d|ltg,,セパレーション
アマミスズメダイ,アマミスズメダイ|Stout Chromis,体表青灰と尾部白。外洋の岩礁に色が浮かぶ,#4E84CA,体表の青,#F6F6F4,尾部の白,#111111,背側の黒,#276976,海水の青緑,s|d|ltg,,セパレーション
ネッタイスズメダイ,ネッタイスズメダイ|Lemon Damselfish,体表黄と鰭縁青。熱帯の珊瑚礁に色が浮かぶ,#EBF091,体表の黄,#235690,鰭縁の青,#111111,眼の黒,#71CBD3,海水の青緑,v|s|dp,,対照色相配色
ルリホシスズメダイ,ルリホシスズメダイ|Jewel Damselfish,体表焦茶と瑠璃斑青。岩礁の縄張りに色が浮かぶ,#4F2A1D,体表の焦茶,#1D7FC0,瑠璃斑の青,#F2CA5E,尾鰭の黄,#BA9233,岩肌の黄土,v|s|dp,,対照色相配色
クレナイニセスズメ,クレナイニセスズメ|Magenta Dottyback,体表紅紫と鰭紫。岩穴の入口に色が浮かぶ,#CE1F86,体表の紅紫,#682EA1,鰭の紫,#111111,眼の黒,#563C1D,岩穴の焦茶,s|d|ltg,,ナチュラルハーモニー
ニシキベラ,ニシキベラ|Cupid Wrasse,体側青緑と縦帯赤。浅い岩礁に色が浮かぶ,#3CB5A1,体側の青緑,#A81528,縦帯の赤,#E5EA4C,鰭の黄,#F6F6F4,腹部の白,v|s|dp,ラメ,ナチュラルハーモニー
ヤマブキベラ,ヤマブキベラ|Yellow-brown Wrasse,体表黄と顔線青。珊瑚礁の水路に色が浮かぶ,#E2C483,体表の黄,#225FC2,顔線の青,#399D2F,鰭の緑,#981E13,口元の赤,v|s|dp,,対照色相配色
オトメベラ,オトメベラ|Bluntheaded Wrasse,頭部紫と体側青緑。外洋の礁縁に色が浮かぶ,#9752BC,頭部の紫,#2BD0D2,体側の青緑,#E0C170,胸部の黄,#254BDC,尾鰭の青,v|s|dp,ラメ,対照色相配色
イロブダイ,イロブダイ|Bicolor Parrotfish,体地白と頭部橙。珊瑚礁の斜面に色が浮かぶ,#F6F6F4,体地の白,#EB9A21,頭部の橙,#111111,斑紋の黒,#215EDC,海水の青,v|s|dp,,セパレーション
ヒブダイ,ヒブダイ|Ember Parrotfish,体表青緑と顔部桃。岩礁の藻場に色が浮かぶ,#2E8D9F,体表の青緑,#E7BCCD,顔部の桃,#235EAF,鰭縁の青,#326B30,藻場の緑,v|s|dp,,ナチュラルハーモニー
センネンダイ,センネンダイ|Emperor Red Snapper,体表紅と腹部銀白。珊瑚礁の底層に色が浮かぶ,#D877A2,体表の紅,#C4C4C4,腹部の銀白,#CF3642,鰭の赤,#1B3CA1,海水の青,v|s|dp,ラメ,ナチュラルハーモニー
アカマツカサ,アカマツカサ|Squirrelfish,体表赤と鱗銀白。夜の岩穴に色が浮かぶ,#99212A,体表の赤,#C4C4C4,鱗の銀白,#111111,眼の黒,#67443B,岩穴の焦茶,s|d|ltg,ラメ,ナチュラルハーモニー
アカネキントキ,アカネキントキ|Goldeneye Snapper,体表朱赤と眼金。深場の岩礁に色が浮かぶ,#E66640,体表の朱赤,#A5992C,眼の金,#7C1225,鰭の赤,#2D3E68,海水の藍,s|d|ltg,ラメ,ナチュラルハーモニー
スミレヤッコ,スミレヤッコ|Purplemask Angelfish,体表黄と顔部紫。深い珊瑚礁に色が浮かぶ,#DECD78,体表の黄,#7930BF,顔部の紫,#3773A4,眼帯の青,#111111,鰭縁の黒,v|s|dp,,対照色相配色
アブラヤッコ,アブラヤッコ|Rusty Angelfish,体表赤茶と鰭縁青。岩礁の隙間に色が浮かぶ,#A05944,体表の赤茶,#2489BF,鰭縁の青,#111111,斑点の黒,#A0662D,岩肌の黄土,s|d|ltg,,ナチュラルハーモニー
オドリハゼ,オドリハゼ|Dancing Goby,体地白と斑紋黒。砂底の巣穴に色が浮かぶ,#F6F6F4,体地の白,#111111,斑紋の黒,#E9F241,鰭の黄,#C7AF9B,砂底の黄土,s|d|ltg,,セパレーション
クビアカハゼ,クビアカハゼ|Red-neck Shrimp Goby,頸部赤と体地白。浅い砂底に色が浮かぶ,#E2322F,頸部の赤,#F6F6F4,体地の白,#895545,斑点の焦茶,#CFA97B,砂底の淡黄,s|d|ltg,,ナチュラルハーモニー
オニハゼ,オニハゼ|Monster Shrimpgoby,体表黄土と斑紋焦茶。礁池の砂底に色が浮かぶ,#C09551,体表の黄土,#836039,斑紋の焦茶,#2568A0,鰭斑の青,#F6F6F4,砂底の白,s|d|ltg,,ナチュラルハーモニー
ダンダラダテハゼ,ダンダラダテハゼ|Barred Shrimpgoby,体地白と横帯赤茶。珊瑚砂の斜面に色が浮かぶ,#F6F6F4,体地の白,#BB5938,横帯の赤茶,#EFB732,鰭の黄,#C9BF99,砂の黄土,s|d|ltg,,ナチュラルハーモニー
ヒメダテハゼ,ヒメダテハゼ|Decorated Goby,体地淡茶と斑点赤。砂礫の底に色が浮かぶ,#DDCCB5,体地の淡茶,#C61424,斑点の赤,#3775DE,鰭の青,#111111,眼の黒,v|s|dp,,ナチュラルハーモニー
イソコンペイトウガニ,イソコンペイトウガニ|Candy Crab,甲羅桃と突起白。軟珊瑚の枝に色が浮かぶ,#D093A5,甲羅の桃,#F6F6F4,突起の白,#CE8D2B,脚の橙,#5F358F,宿主の紫,v|s|dp,,ナチュラルハーモニー
オランウータンクラブ,オランウータンクラブ|Orangutan Crab,体毛橙と甲羅赤茶。珊瑚の枝先に色が浮かぶ,#F08C4B,体毛の橙,#854322,甲羅の赤茶,#DADC6E,脚先の黄,#88C1CD,宿主の青緑,v|s|dp,,ナチュラルハーモニー
ゼブラガニ,ゼブラガニ|Zebra Crab,甲羅白と縞黒。ウニの棘間に色が浮かぶ,#F6F6F4,甲羅の白,#111111,縞の黒,#71312B,脚の赤茶,#802B93,ウニの紫,s|d|ltg,,セパレーション
ナガサキアゲハ,ナガサキアゲハ|Papilio memnon,翅地黒と後翅白。夏の花木に色が浮かぶ,#111111,翅地の黒,#F6F6F4,後翅の白,#CE5547,斑紋の赤,#D77886,花の桃,s|d|ltg,,セパレーション
クロアゲハ,クロアゲハ|Papilio protenor,翅地黒と後翅赤。木陰の花に色が浮かぶ,#111111,翅地の黒,#B62E48,後翅の赤,#275599,鱗粉の青,#F6F6F4,花の白,v|s|dp,,セパレーション
オナガアゲハ,オナガアゲハ|Papilio macilentus,翅地黒と後翅赤。山地の林縁に色が浮かぶ,#111111,翅地の黒,#BB2729,後翅の赤,#4078C8,尾状突起の青,#39BC4E,林葉の緑,v|s|dp,,対照色相配色
アカタテハ,アカタテハ|Vanessa indica,翅帯赤と翅地黒。秋の花壇に色が浮かぶ,#CE495D,翅帯の赤,#111111,翅地の黒,#F6F6F4,前翅の白,#F5E17F,花の黄,v|s|dp,,セパレーション
ヒメアカタテハ,ヒメアカタテハ|Vanessa cardui,翅地橙と斑紋黒。草原の花に色が浮かぶ,#E98860,翅地の橙,#111111,斑紋の黒,#F6F6F4,前翅の白,#8146BF,花の紫,v|s|dp,,セパレーション
キタテハ,キタテハ|Polygonia c-aureum,翅地橙と斑紋黒。秋草の野に色が浮かぶ,#EAAB47,翅地の橙,#111111,斑紋の黒,#986C39,翅裏の焦茶,#45A862,草葉の緑,v|s|dp,,ナチュラルハーモニー
メスグロヒョウモン,メスグロヒョウモン|Argynnis sagana,雌翅黒と帯斑白。夏山の草地に色が浮かぶ,#111111,雌翅の黒,#F6F6F4,帯斑の白,#E56B2C,雄翅の橙,#2AA829,草葉の緑,v|s|dp,,セパレーション
ウスバシロチョウ,ウスバシロチョウ|Clouded Apollo,翅地白と翅脈黒。春の山野に色が浮かぶ,#F6F6F4,翅地の白,#111111,翅脈の黒,#F2D563,体毛の黄,#4EA147,草地の緑,v|s|dp,,セパレーション
ツマキチョウ,ツマキチョウ|Anthocharis scolymus,翅地白と翅端橙。春草の花に色が浮かぶ,#F6F6F4,翅地の白,#DB9071,翅端の橙,#7A9D49,翅裏の緑,#E6C240,花の黄,v|s|dp,,ナチュラルハーモニー
ゴマダラチョウ,ゴマダラチョウ|Hestina persimilis,翅地黒と白斑白。雑木林の樹液に色が浮かぶ,#111111,翅地の黒,#F6F6F4,白斑の白,#E6DA98,口吻の黄,#482E27,樹皮の茶,s|d|ltg,,セパレーション
アカボシゴマダラ,アカボシゴマダラ|Hestina assimilis,翅地白と翅脈黒。都市林の枝に色が浮かぶ,#F6F6F4,翅地の白,#111111,翅脈の黒,#D83437,後翅の赤斑,#3B7D36,葉の緑,v|s|dp,,セパレーション
コミスジ,コミスジ|Neptis sappho,翅地黒と三筋白。林縁の光に色が浮かぶ,#111111,翅地の黒,#F6F6F4,三筋の白,#973122,翅裏の赤茶,#2B7245,葉の緑,s|d|ltg,,セパレーション
アサマイチモンジ,アサマイチモンジ|Limenitis glorifica,翅地黒と一文字白。低山の林縁に色が浮かぶ,#111111,翅地の黒,#F6F6F4,一文字の白,#C55331,翅裏の赤茶,#543576,花の紫,s|d|ltg,,セパレーション
イチモンジチョウ,イチモンジチョウ|White Admiral,翅地黒と一文字白。夏の林道に色が浮かぶ,#111111,翅地の黒,#F6F6F4,一文字の白,#C24D1A,翅裏の橙茶,#2C9B3E,林葉の緑,v|s|dp,,セパレーション
オオウラギンヒョウモン,オオウラギンヒョウモン|Fabriciana nerippe,翅表橙と斑紋黒。草原の夏に色が浮かぶ,#DDA56D,翅表の橙,#111111,斑紋の黒,#C4C4C4,翅裏の銀,#38C66A,草葉の緑,v|s|dp,ラメ,ナチュラルハーモニー
ウラギンヒョウモン,ウラギンヒョウモン|High Brown Fritillary,翅表橙と斑紋黒。山地の草原に色が浮かぶ,#E8965B,翅表の橙,#111111,斑紋の黒,#C4C4C4,裏斑の銀,#7F47A5,花の紫,v|s|dp,ラメ,ナチュラルハーモニー
ハッチョウトンボ,ハッチョウトンボ|Nannophya pygmaea,雄体赤と雌体黄土。湿地の草間に色が浮かぶ,#E92E51,雄体の赤,#A48F3C,雌体の黄土,#F6F6F4,翅の透明白,#38924A,湿地の緑,v|s|dp,,対照色相配色
コフキトンボ,コフキトンボ|Deielia phaon,雄体青灰と腹端黒。池辺の葦に色が浮かぶ,#2E7395,雄体の青,#111111,腹端の黒,#F6F6F4,翅の透明白,#7F8F58,葦の緑,s|d|ltg,,セパレーション
マユタテアカネ,マユタテアカネ|Sympetrum eroticum,腹部赤と顔斑黒。秋の水辺に色が浮かぶ,#B02919,腹部の赤,#111111,顔斑の黒,#F6F6F4,翅の透明白,#BEA954,枯草の黄土,s|d|ltg,,セパレーション
リスアカネ,リスアカネ|Sympetrum risi,腹部赤と翅端褐色。林縁の秋に色が浮かぶ,#B23358,腹部の赤,#703E30,翅端の褐色,#B87F2A,胸部の黄土,#2C8822,葉の緑,s|d|ltg,,ナチュラルハーモニー
アカガネサルハムシ,アカガネサルハムシ|Acrothinium gaschkevitchii,上翅赤銅と胸部青緑。草葉の表に色が浮かぶ,#B14536,上翅の赤銅,#40967D,胸部の青緑,#111111,脚の黒,#3CBD3E,葉の緑,s|d|ltg,,ナチュラルハーモニー
ヤマトタマムシ,ヤマトタマムシ|Chrysochroa fulgidissima,上翅緑と縦条赤。夏木の幹に色が浮かぶ,#24803F,上翅の緑,#E33420,縦条の赤,#C7951E,金属光の金,#111111,脚の黒,v|s|dp,ラメ,対照色相配色
パプアキンイロクワガタ,パプアキンイロクワガタ|Lamprima adolphinae,上翅金緑と胸部金。熱帯の樹幹に色が浮かぶ,#3BB083,上翅の金緑,#C6AB33,胸部の金,#111111,大顎の黒,#614932,樹皮の茶,s|d|ltg,ラメ,ナチュラルハーモニー
メタリフェルホソアカクワガタ,メタリフェルホソアカクワガタ|Cyclommatus metallifer,上翅赤銅と胸部金茶。熱帯の樹幹に色が浮かぶ,#BC6839,上翅の赤銅,#CBBC5B,胸部の金茶,#603822,大顎の焦茶,#4BB24B,葉の緑,s|d|ltg,ラメ,ナチュラルハーモニー
オウゴンオニクワガタ,オウゴンオニクワガタ|Allotopus rosenbergi,上翅黄金と脚焦茶。熱帯林の夜に色が浮かぶ,#CF7F20,上翅の黄金,#7B5544,脚の焦茶,#111111,大顎の黒,#1B4524,夜葉の緑,s|d|ltg,ラメ,ナチュラルハーモニー
津軽凧,津軽凧|Tsugaru Kite,和紙白と墨黒。ねぶた絵の大空に郷土の色が立つ,#F6F6F4,和紙の白,#111111,墨の黒,#AD2C37,絵柄の朱,#2F326E,縁取りの藍,s|d|ltg,,セパレーション
江戸角凧,江戸角凧|Edo Rectangular Kite,和紙白と墨黒。江戸の新春空に郷土の色が立つ,#F6F6F4,和紙の白,#111111,墨の黒,#D24640,絵柄の朱,#2B2CA2,縁取りの藍,s|d|ltg,,セパレーション
六郷とんび凧,六郷とんび凧|Rokugo Tombi Kite,鳶羽焦茶と和紙白。多摩川の冬空に郷土の色が立つ,#7C4829,鳶羽の焦茶,#F6F6F4,和紙の白,#DFD24F,嘴の黄,#111111,墨の黒,s|d|ltg,,セパレーション
八丈島為朝凧,八丈島為朝凧|Hachijojima Tametomo Kite,和紙白と墨黒。島風の青空に郷土の色が立つ,#F6F6F4,和紙の白,#111111,墨の黒,#BF132E,絵柄の朱,#30327F,縁取りの藍,s|d|ltg,,セパレーション
今町六角凧,今町六角凧|Imamachi Rokkaku Kite,和紙白と武者絵朱。越後の凧合戦に郷土の色が立つ,#F6F6F4,和紙の白,#A9302C,武者絵の朱,#111111,墨の黒,#263E8D,六角縁の青,v|s|dp,,セパレーション
袋井丸凧,袋井丸凧|Fukuroi Maru Kite,和紙白と丸枠朱。遠州の強風に郷土の色が立つ,#F6F6F4,和紙の白,#C02341,丸枠の朱,#111111,墨絵の黒,#79A0C6,空の青,s|d|ltg,,セパレーション
ブカ凧,ブカ凧|Buka Kite,和紙白と絵柄赤。遠州の横風に郷土の色が立つ,#F6F6F4,和紙の白,#E91F2F,絵柄の赤,#111111,墨の黒,#1B3367,横帯の藍,s|d|ltg,,セパレーション
八つ花凧,八つ花凧|Yatsuhana Kite,花弁赤と花弁黄。三河の冬空に郷土の色が立つ,#971120,花弁の赤,#F4D07C,花弁の黄,#111111,墨の黒,#F6F6F4,和紙の白,v|s|dp,,セパレーション
鴻巣蝉凧,鴻巣蝉凧|Konosu Cicada Kite,蝉羽緑と胴焦茶。関東の新春空に郷土の色が立つ,#2EAA3B,蝉羽の緑,#4B3220,胴の焦茶,#111111,眼の黒,#F6F6F4,和紙の白,s|d|ltg,,セパレーション
京都扇凧,京都扇凧|Kyoto Fan Kite,扇面白と日丸の朱。京の冬空に郷土の色が立つ,#F6F6F4,扇面の白,#89252B,日の丸の朱,#111111,骨の黒,#DFAD60,霞の金,s|d|ltg,,セパレーション
吉野袖いか,吉野袖いか|Yoshino Sode-ika Kite,和紙白と袖朱。吉野の山風に郷土の色が立つ,#F6F6F4,和紙の白,#E03546,袖の朱,#111111,墨の黒,#74A5D9,山空の青,s|d|ltg,,セパレーション
鳴門わんわん凧,鳴門わんわん凧|Naruto Wanwan Kite,和紙白と中央朱。鳴門の海風に郷土の色が立つ,#F6F6F4,和紙の白,#CD1A16,中央の朱,#111111,墨の黒,#1D40B7,海の青,v|s|dp,,セパレーション
讃岐釣鐘凧,讃岐釣鐘凧|Sanuki Bell Kite,鐘金と墨黒。讃岐の冬空に郷土の色が立つ,#D09244,鐘の金,#111111,墨の黒,#F6F6F4,和紙の白,#B02E26,紐の朱,s|d|ltg,,セパレーション
讃岐ごんぼ凧,讃岐ごんぼ凧|Sanuki Gonbo Kite,和紙白と絵柄黄土。讃岐平野の風に郷土の色が立つ,#F6F6F4,和紙の白,#987C39,絵柄の黄土,#111111,墨の黒,#DD4331,縁の朱,s|d|ltg,,セパレーション
五十崎けんか凧,五十崎けんか凧|Ikazaki Fighting Kite,和紙白と戦印朱。肱川の空に郷土の色が立つ,#F6F6F4,和紙の白,#CE4A4B,戦印の朱,#111111,墨の黒,#34427A,縁取りの藍,s|d|ltg,,セパレーション
見島鬼ようず,見島鬼ようず|Mishima Oni Yozu,鬼面赤と角黄。日本海の強風に郷土の色が立つ,#B92E33,鬼面の赤,#DBBA52,角の黄,#111111,墨の黒,#F6F6F4,尾の白,v|s|dp,,セパレーション
柳川唐傘唐人凧,柳川唐傘唐人凧|Yanagawa Karakasa Tojin Kite,唐傘赤と唐人衣青。筑後の冬空に郷土の色が立つ,#DA2D4F,唐傘の赤,#4398C2,唐人衣の青,#F6F6F4,顔の白,#111111,墨の黒,v|s|dp,,セパレーション
長崎ハタ,長崎ハタ|Nagasaki Hata,地紙白と文様赤。港町の風に郷土の色が立つ,#F6F6F4,地紙の白,#872535,文様の赤,#4861CC,文様の青,#111111,墨の黒,v|s|dp,,セパレーション
島原剣ぼうそう凧,島原剣ぼうそう凧|Shimabara Kenbosou Kite,剣文朱と和紙白。島原の冬空に郷土の色が立つ,#CC4B37,剣文の朱,#F6F6F4,和紙の白,#111111,墨の黒,#A1C0E7,空の青,s|d|ltg,,セパレーション
島原鶴亀凧,島原鶴亀凧|Shimabara Crane-Turtle Kite,鶴羽白と亀甲緑。島原の祝い空に郷土の色が立つ,#F6F6F4,鶴羽の白,#2C9D4F,亀甲の緑,#BE3140,丹頂の赤,#111111,墨の黒,v|s|dp,,セパレーション
壱岐鬼凧,壱岐鬼凧|Iki Oni Kite,鬼面赤と角黄。玄界灘の風に郷土の色が立つ,#962824,鬼面の赤,#E2D56D,角の黄,#111111,墨の黒,#6FA4C0,島空の青,v|s|dp,,セパレーション
五島バラモン凧,五島バラモン凧|Goto Baramon Kite,鬼口赤と鬼眼黄。五島の強風に郷土の色が立つ,#C52C27,鬼口の赤,#DBAC43,鬼眼の黄,#111111,髪の黒,#9F8626,竹骨の黄土,v|s|dp,,セパレーション
横須賀凧,横須賀凧|Yokosuka Kite,和紙白と墨黒。遠州の海風に郷土の色が立つ,#F6F6F4,和紙の白,#98CDE2,海空の青,#B11615,絵柄の朱,#AD7D32,竹骨の黄土,s|d|ltg,,セパレーション
細江凧,細江凧|Hosoe Kite,和紙白と家紋朱。浜名湖の風に郷土の色が立つ,#F6F6F4,和紙の白,#B69545,竹骨の黄土,#111111,墨の黒,#257D45,湖畔の緑,v|s|dp,,セパレーション
三州幸田凧,三州幸田凧|Sanshu Kota Kite,和紙白と武者絵朱。三河の田園空に郷土の色が立つ,#F6F6F4,和紙の白,#9A1830,武者絵の朱,#111111,墨の黒,#E3D138,縁の黄,v|s|dp,,セパレーション
井川扇凧,井川扇凧|Ikawa Fan Kite,扇面白と扇骨黒。山里の冬空に郷土の色が立つ,#F6F6F4,扇面の白,#111111,扇骨の黒,#CE1D3E,日の朱,#ACC8D9,山空の青,s|d|ltg,,セパレーション
諏訪凧,諏訪凧|Suwa Kite,和紙白と絵柄朱。諏訪湖の冬空に郷土の色が立つ,#F6F6F4,和紙の白,#AF1B35,絵柄の朱,#111111,墨の黒,#1D4E9D,湖面の青,v|s|dp,,セパレーション
