表示名,反応することば,ひとこと,色1,色1の名前,色2,色2の名前,色3,色3の名前,色4,色4の名前,トーン,質感,配色技法
ツノダシ,ツノダシ|Moorish idol,白黒の縞に鮮黄、長い背鰭が珊瑚礁を切る,#EDEDEB,体側の白,#252525,体側の黒,#D6C458,体側の黄,#2F71BE,鰭縁の青,v|s|dp,,セパレーション
ハナヒゲウツボ,ハナヒゲウツボ|ribbon eel,鮮青の体、黄いろい口と背鰭が水中で揺れる,#3D87B5,体表の鮮青,#DFD856,口先の黄,#C5A04B,背鰭の黄,#080808,口内の黒,v|b|dp,,対照色相配色
ミノカサゴ,ミノカサゴ|lionfish,白と赤茶の縞、半透明の鰭が海中に広がる,#EEEDED,体の白帯,#A44D3D,体の赤茶縞,#644027,鰭条の焦茶,#8C94A0,鰭膜の淡灰,s|d|ltg,,リピテーション配色
クイーンエンゼルフィッシュ,クイーンエンゼルフィッシュ|queen angelfish,青い体と金黄の鰭、額の青冠が南海に光る,#3275A4,体表の青,#D7AC2F,鰭の金黄,#71BEC4,額冠の青,#E5CF5F,尾鰭の黄,v|b|s,ラメ,類似色相配色
ヒフキアイゴ,ヒフキアイゴ|foxface rabbitfish,黄色い体、白い顔と黒帯が礁湖で鮮やか,#EFF183,体表の黄,#F1F1ED,顔の白,#3A2B2B,顔帯の黒,#2F7FC6,背の灰青,v|s|dp,,セパレーション
ハタタテハゼ,ハタタテハゼ|firefish goby,白い頭から紅橙へ、黒い背鰭が細く立つ,#EAE8E7,頭部の白,#B1446C,胴の紅桃,#D46D1E,尾部の橙赤,#392E2E,背鰭の黒,b|s|dp,,トーンのグラデーション
アカネハナゴイ,アカネハナゴイ|lyretail anthias,茜色の群れに紫の縁、海の青が背景になる,#B3546A,体表の茜色,#613C86,鰭縁の紫,#E37D72,腹の淡橙,#355FAF,海水の青,v|b|s,,類似色相配色
ニセモチノウオ,ニセモチノウオ|six-line wrasse,紫の体に橙の細線、青い尾が珊瑚を縫う,#5E377F,体表の紫,#D17E19,横縞の橙,#2C79A6,尾鰭の青,#B42328,眼の赤,v|s|dp,,中差色相配色
フウライチョウチョウウオ,フウライチョウチョウウオ|threadfin butterflyfish,白い体に黒帯、黄いろい尾が礁原を舞う,#F6F6F4,体側の白,#1E1E1E,眼帯の黒,#E8CD5F,尾鰭の黄,#84B7D4,背の青灰,b|s|dp,,セパレーション
ハナカマキリ,ハナカマキリ|orchid mantis,蘭の花に似た白桃の体、脚先に淡緑が差す,#F5F3F3,体表の花白,#CB95AA,脚の淡桃,#A3BA94,節の淡緑,#673B2D,眼の焦茶,p|lt|sf,ツヤケシ,カマイユ配色
ミドリニシキヘビ,ミドリニシキヘビ|green tree python,鮮緑の鱗、白黄の斑が枝上で浮かび上がる,#319243,鱗の鮮緑,#EBEAE4,背の白斑,#E6D14B,腹の黄,#282828,瞳の黒,v|s|dp,,対照色相配色
アカアシドゥクラングール,アカアシドゥクラングール|red-shanked douc,灰青の顔、赤い脚と橙の顔周りが鮮烈,#2A6F9C,顔の灰青,#DA233C,脚毛の赤,#D9743C,頬毛の橙,#F4F4F3,前腕の白,s|dp|ltg,,対照色相配色
オオフウチョウ,オオフウチョウ|greater bird-of-paradise,金黄の飾り羽、栗茶と白が熱帯の森で踊る,#D1BA4E,飾り羽の金黄,#835A40,翼羽の栗茶,#F7F7F7,腹羽の白,#42A83A,喉羽の緑,s|dp|ltg,ラメ,ナチュラルハーモニー
スミレコンゴウインコ,スミレコンゴウインコ|hyacinth macaw,濃い瑠璃の羽、目周りの黄が大きく光る,#3678B6,体羽の濃瑠璃,#223857,翼陰の濃藍,#E8D787,目周りの黄,#090707,嘴の黒,s|dp|dk,,セパレーション
堤人形,堤人形|Tsutsumi doll|Tsutsumi ningyo,胡粉の白に蘇芳と群青、江戸土人形の華やぎ,#F3F1F0,胡粉の白,#A12023,衣の蘇芳赤,#2B50CD,衣の群青,#252424,髪の墨黒,s|dp|ltg,ツヤケシ,セパレーション
花巻人形,花巻人形|Hanamaki doll|Hanamaki ningyo,鮮やかな蘇芳と群青、桜模様が白地に映える,#EBEAE9,胡粉の白,#D03730,蘇芳の赤,#3483CE,群青の青,#C78BA3,桜模様の桃,v|s|lt,ツヤケシ,リピテーション配色
相良人形,相良人形|Sagara doll|Sagara ningyo,可憐な胡粉顔、朱と緑の衣が土肌を彩る,#ECEAEA,顔の胡粉白,#DF4D21,衣の朱,#347B37,衣の緑,#7D5841,素焼きの土茶,s|d|ltg,ツヤケシ,ナチュラルハーモニー
下川原焼土人形,下川原焼土人形|Shitakawara clay doll,赤土の肌に白と朱、素朴な鳩笛の色,#A96041,素焼きの赤土,#EDEBEA,彩色の白,#C5231D,彩色の朱,#E6D484,嘴の黄,s|d|lt,ツヤケシ,ナチュラルハーモニー
八橋人形,八橋人形|Yabase doll|Yabase ningyo,胡粉の白と朱、青緑の衣が秋田の土に残る,#F1EFEE,胡粉の白,#AA2A35,衣の朱,#3AA7A4,衣の青緑,#3B2C2C,髪の墨黒,s|dp|ltg,ツヤケシ,セパレーション
中山人形,中山人形|Nakayama doll|Nakayama ningyo,白い土肌に赤黄緑、素朴な彩色が冴える,#F2F1F0,胡粉の白,#D91D1F,彩色の赤,#DCD068,彩色の黄,#297E3E,彩色の緑,v|s|lt,ツヤケシ,中差色相配色
尾崎人形,尾崎人形|Ozaki doll|Ozaki ningyo,白い焼肌に赤と青、笛穴の黒が愛らしい,#F1EFEE,焼肌の白,#B53124,彩色の赤,#3473D2,彩色の青,#352F2F,笛穴の黒,v|s|dp,ツヤケシ,セパレーション
お鷹ぽっぽ,お鷹ぽっぽ|Otaka Poppo|Sasano ittobori hawk,白木の羽に赤黒の筆、削り跡が軽やか,#DDD7C3,白木の生成り,#A5281E,羽模様の赤,#402E2E,羽模様の黒,#E0C350,嘴の黄,s|d|ltg,ツヤケシ,セパレーション
鵜渡川原人形,鵜渡川原人形|Udogawara doll|Udogawara ningyo,白地に朱黄緑、酒田の土人形が明るく笑う,#F3F3F3,胡粉の白,#DE4032,彩色の朱,#DFCE6A,彩色の黄,#379349,彩色の緑,v|s|lt,ツヤケシ,中差色相配色
会津中湯川人形,会津中湯川人形|Aizu Nakayugawa doll,白い土肌、朱と藍の衣に黄いろい飾り,#F0F0EE,胡粉の白,#C62C31,衣の朱,#232164,衣の藍,#E3E064,飾りの黄,s|dp|ltg,ツヤケシ,対照色相配色
佐土原人形,佐土原人形|Sadowara doll|Sadowara ningyo,土の白肌に朱と藍、南国らしい黄が差す,#EEEEED,胡粉の白,#DB6545,衣の朱,#253067,衣の藍,#DADA4E,飾りの黄,s|dp|ltg,ツヤケシ,対照色相配色
芝原人形,芝原人形|Shibahara doll|Shibahara ningyo,白い土人形に赤青黄、素朴な線が残る,#F3F3F3,胡粉の白,#C11D31,彩色の赤,#276FB0,彩色の青,#E1C576,彩色の黄,v|s|lt,ツヤケシ,中差色相配色
相馬野馬追,相馬野馬追|Soma Nomaoi,甲冑の黒金、旗指物の赤白が土煙を切る,#282525,甲冑の黒,#C19436,金具の金,#BE273E,御神旗の赤,#F7F7F6,御神旗の白,s|dp|dk,,セパレーション
佐原の大祭,佐原の大祭|Sawara Grand Festival|Sawara no Taisai,漆黒の山車、金具と朱幕が古い町を進む,#272020,山車の漆黒,#B0843B,飾金具の金,#E35034,幕の朱,#E1DDC9,提灯の白,s|dp|dk,ラメ,対照トーン配色
八戸三社大祭,八戸三社大祭|Hachinohe Sansha Taisai,極彩色の山車、金と朱が夜の街でせり上がる,#D8B845,山車飾りの金,#A92228,山車飾りの朱,#76439A,幕の紫,#DAD3C9,提灯の白,v|s|dp,ラメ,リピテーション配色
新居浜太鼓祭り,新居浜太鼓祭り|Niihama Taiko Festival,金糸の太鼓台、朱と白の房が秋空に揺れる,#C6A22B,刺繍の金,#CB373B,房の朱,#F3F2F2,房の白,#704E32,担ぎ棒の木茶,s|dp|ltg,ラメ,セパレーション
唐津くんち,唐津くんち|Karatsu Kunchi,漆と金の曳山、朱青の彩色が城下を巡る,#3A3A3A,曳山の漆黒,#C59652,金箔の金,#DB4B3D,彩色の朱,#3166A4,彩色の群青,s|dp|dk,ラメ,対照色相配色
高千穂夜神楽,高千穂夜神楽|Takachiho Yokagura,白面と朱、夜神楽の黒に榊の緑が浮かぶ,#EBEBE7,神楽面の白,#DD2F37,面彩の朱,#080808,夜座の黒,#3CAD5F,榊の緑,s|dp|dk,,セパレーション
石見神楽,石見神楽|Iwami Kagura,金襴の衣、朱い面と白蛇が舞台を駆ける,#C0AF4A,衣装の金,#C01D2D,神楽面の朱,#EFEFEE,大蛇の白,#0F0C0C,舞台幕の黒,v|s|dp,ラメ,セパレーション
川越まつり,川越まつり|Kawagoe Festival,黒漆の山車、金と朱、提灯の白が蔵町を彩る,#121111,山車の黒漆,#CDA565,飾金具の金,#D53E31,幕の朱,#DCD9C7,提灯の白,s|dp|dk,ラメ,対照トーン配色
鞍馬の火祭,鞍馬の火祭|Kurama Fire Festival,松明の橙赤、白装束と夜の黒が山道を染める,#D88A50,松明の橙,#E0C666,炎芯の黄,#F5F4F4,祭装束の白,#080707,夜山の黒,v|s|dp,,対照色相配色
能登キリコ祭り,能登キリコ祭り|Noto Kiriko Festival,巨大灯籠の白、朱文字と夜の黒が海辺を進む,#DFDBC8,キリコの灯白,#BF1C2D,文字の朱,#3D3434,夜空の黒,#C79830,飾金具の金,s|dp|dk,ラメ,セパレーション
長浜曳山まつり,長浜曳山まつり|Nagahama Hikiyama Festival,黒漆と金具、緋幕の山車に役者の白が映える,#090707,曳山の黒漆,#CCB957,金具の金,#E02939,幕の緋,#F1F1F0,化粧の白,s|dp|dk,ラメ,セパレーション
島田大祭,島田大祭|Shimada Obi Festival|Obi Matsuri,大奴の帯が赤金に揺れ、白装束が街道を行く,#CD4938,大奴の帯の赤,#CBB666,帯飾りの金,#F4F2F1,祭装束の白,#181212,髪結いの黒,s|dp|dk,,セパレーション
オレガノ,オレガノ|oregano|oregano herb,乾いた緑葉、淡紫の花と木質の茎が香る,#ACC792,乾燥葉の灰緑,#43B03A,生葉の緑,#B7AFD6,花の淡紫,#7D5B49,茎の木茶,sf|d|ltg,ツヤケシ,ナチュラルハーモニー
ディル,ディル|dill|dill herb,細い葉の青緑、黄花と種の薄茶が爽やか,#3AA58C,葉の青緑,#E5E084,花の黄,#CDC19F,種子の薄茶,#90BD8A,茎の淡緑,b|sf|lt,ツヤケシ,類似色相配色
セージ,セージ|sage herb|culinary sage,銀灰の葉、紫花と木質の茎に乾いた香り,#91B481,葉の銀灰緑,#EAE7E3,葉裏の灰白,#8E35B1,花の紫,#63452C,茎の木茶,sf|d|ltg,ツヤケシ,ナチュラルハーモニー
タラゴン,タラゴン|tarragon|tarragon herb,細葉の濃緑、淡い茎と黄緑の芽が甘く香る,#33A741,葉の濃緑,#A2B893,茎の淡緑,#71884C,芽の黄緑,#758089,乾燥葉の灰緑,sf|d|ltg,ツヤケシ,類似色相配色
ローレル,ローレル|月桂樹|bay leaf|laurel leaf,深緑の葉、乾燥すると黄褐色へ静かに変わる,#1E4A23,生葉の深緑,#BF9D3B,乾燥葉の黄褐色,#8DBC85,葉脈の淡緑,#835C47,枝の木茶,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
レモングラス,レモングラス|lemongrass|lemon grass,黄緑の葉、白い茎元に柑橘の明るさが走る,#586D36,葉の黄緑,#DED7CA,茎元の白,#E4D17E,切口の淡黄,#CAB98A,乾燥葉の薄茶,b|lt|sf,ツヤケシ,ナチュラルハーモニー
レモンバーム,レモンバーム|lemon balm|Melissa officinalis,明るい緑葉、白花と淡黄の香りが柔らかい,#389C44,葉の明緑,#F1F1F0,花の白,#9ABB89,葉脈の黄緑,#D2C493,乾燥葉の薄茶,b|lt|sf,ツヤケシ,ナチュラルハーモニー
ジュニパーベリー,ジュニパーベリー|juniper berry|juniper berries,青黒い果実、針葉の緑と白い粉をまとう,#313E64,果実の青黒,#2D742C,針葉の緑,#F0F0F0,果粉の白,#954B35,枝の赤茶,d|dk|ltg,ツヤケシ,ナチュラルハーモニー
オールスパイス,オールスパイス|allspice|allspice berry,赤褐色の実と焦茶の粉、乾いた果皮が温かい,#A85941,乾燥果の赤褐色,#7A513C,粉末の焦茶,#CB8947,果皮の黄土,#E7E0D0,芯の生成り,d|dk|ltg,ツヤケシ,トーン・オン・トーン配色
メース,メース|mace spice|mace,橙赤の仮種皮、乾燥すると黄褐色へ沈む,#E28044,仮種皮の橙赤,#A94D3D,乾燥片の赤茶,#C29150,粉末の黄土,#816042,種皮の焦茶,s|d|dk,ツヤケシ,同一色相配色
サフラン,サフラン|saffron|saffron spice,深紅のめしべ、湯にほどける鮮黄が香り立つ,#9B2224,乾燥めしべの深紅,#DFDE59,抽出液の鮮黄,#B59FCF,花弁の淡紫,#D1A93D,花粉の橙黄,v|s|dp,,対照色相配色
ウコン,ウコン|turmeric|turmeric root,切口の鮮黄、皮の薄茶と葉の緑が土に映える,#E8E08C,根茎の鮮黄,#C5B58B,皮の薄茶,#C8B84C,粉末の黄金,#39793A,葉の緑,v|b|s,ツヤケシ,ナチュラルハーモニー
唐辛子,唐辛子|chili pepper|red chili,赤い果皮、緑の萼と白い種が辛さを告げる,#BF2A2E,完熟果の赤,#42B156,未熟果の緑,#DAD0BA,種子の白,#9E512D,乾燥果の赤茶,v|s|dp,,対照色相配色
にんにく,にんにく|garlic,乳白の鱗片、薄紫の皮と芽の緑が淡く重なる,#E3E1D5,鱗片の乳白,#EBE7E7,外皮の白,#B7A8D4,薄皮の淡紫,#2B942E,芽の緑,p|lt|sf,ツヤケシ,カマイユ配色
青ねぎ,青ねぎ|green onion|scallion,濃緑の葉から白い茎へ、切口の若緑が爽やか,#408F4E,葉の濃緑,#F0EFEF,茎の白,#A0C397,切口の若緑,#E0C564,根元の淡黄,b|sf|lt,,トーンのグラデーション
三つ葉,三つ葉|mitsuba|Japanese parsley,三枚葉の鮮緑、細い茎と白い花が清々しい,#3C8A4B,葉の鮮緑,#AAC395,茎の淡緑,#EAE9E7,花の白,#C7B086,種子の薄茶,b|sf|lt,ツヤケシ,ナチュラルハーモニー
青海苔,青海苔|aonori|green laver,濃い海藻緑、粉末の青緑が磯の香りを運ぶ,#2A6637,海藻の濃緑,#35948D,粉末の青緑,#9EC591,乾燥片の灰緑,#EBE7E6,海塩の白,d|dk|ltg,ツヤケシ,類似色相配色
白味噌,白味噌|shiro miso|white miso,淡い生成りの味噌、麹の白と照りの黄が甘い,#DAD6B4,味噌の淡生成り,#F3F3F2,麹の白,#E2C976,照りの淡黄,#C7B896,熟成部の薄茶,lt|sf|ltg,ツヤケシ,トーン・オン・トーン配色
醤油,醤油|soy sauce|shoyu,黒褐色の液面、縁に透ける赤琥珀が深い,#33241D,液面の黒褐色,#A35F21,透過光の赤琥珀,#765130,熟成樽の焦茶,#E3D8CC,泡の生成り,d|dk|dkg,,トーン・オン・トーン配色
米酢,米酢|rice vinegar,淡い麦わら色、透明な黄と米の白が軽やか,#DECF60,酢の淡黄,#D8C3A8,透過光の麦色,#F7F6F6,米の白,#B37F33,瓶底の琥珀,lt|sf|ltg,,トーンのグラデーション
黒酢,黒酢|black vinegar|kurozu,黒褐色の酢、赤琥珀の透過光と壺肌の茶,#5F392E,酢の黒褐色,#885C2D,透過光の赤琥珀,#6E5743,壺の焦茶,#DFD56E,泡の淡黄,d|dk|dkg,,トーン・オン・トーン配色
甘酒,甘酒|amazake|sweet sake,米麹の乳白、粒の生成りと淡黄がやさしく濁る,#E0DDCB,甘酒の乳白,#E9E8E8,米粒の白,#CBB281,麹の生成り,#D7B453,表面の淡黄,p|lt|sf,,カマイユ配色
きな粉,きな粉|kinako|roasted soybean flour,香ばしい黄土の粉、炒り豆の薄茶が柔らかい,#AC8936,きな粉の黄土,#C7B493,炒り豆の薄茶,#EAE44E,粉の淡黄,#9C5946,豆皮の赤茶,d|sf|ltg,ツヤケシ,トーナル配色
黒豆,黒豆|black soybean|kuromame,黒紫の豆皮、煮汁の赤褐色と艶が深く光る,#080808,豆皮の黒,#3B2540,豆皮の黒紫,#824F39,煮汁の赤褐色,#A46F2B,照りの琥珀,d|dk|dkg,,コンプレックスハーモニー
